ts_ms,side,qty,price,fee_quote,reason,kind,trade_id,btc_after,cash_after,exposure_after,datetime_utc,notional
1679097599999,BUY,0.05269295,27404.718980378253,1.4440354869971224,breakout_add,TWAP,21,0.05269295,19903.366499901815,0.06762248558139368,2023-03-17T23:59:59.999000+00:00,1444.0354869971222
1679255999999,BUY,0.09242213,28265.76026089675,2.6123817693814337,breakout_add,TWAP,21,0.14511508,17288.372348751,0.1917062751610379,2023-03-19T19:59:59.999000+00:00,2612.3817693814335
1679500799999,BUY,0.14994156,28605.07898937675,4.289090167590373,breakout_add,TWAP,21,0.29505664,12994.993090993037,0.39366848316335973,2023-03-22T15:59:59.999000+00:00,4289.090167590373
1679558399999,BUY,0.04592073,27641.60186629825,1.269322536069778,rebound_add,TWAP,21,0.34097737,11724.40123238719,0.44555685090941954,2023-03-23T07:59:59.999000+00:00,1269.322536069778
1679831999999,BUY,0.04570321,27875.703779148753,1.274009143716229,rebound_add,TWAP,21,0.38668058,10449.118079527245,0.5076823032420433,2023-03-26T11:59:59.999000+00:00,1274.0091437162291
1680033599999,BUY,0.04606043,27435.589782149753,1.263695062669424,rebound_add,TWAP,21,0.43274101,9184.159321795152,0.5637499115161919,2023-03-28T19:59:59.999000+00:00,1263.695062669424
1680091199999,BUY,0.15133033,28363.914605349753,4.292320557319398,breakout_add,TWAP,21,0.58407134,4887.546443918434,0.7721242902348324,2023-03-29T11:59:59.999000+00:00,4292.320557319398
1680220799999,BUY,0.02629035,28038.34068621325,0.7371377900597865,rebound_add,TWAP,21,0.6103616900000001,4149.671516068588,0.8047875973937461,2023-03-30T23:59:59.999000+00:00,737.1377900597865
1680523199999,BUY,0.04543399,28263.61951184325,1.2841290062648911,rebound_add,TWAP,21,0.65579568,2864.258380797432,0.8661119326988399,2023-04-03T11:59:59.999000+00:00,1284.1290062648911
1680609599999,BUY,0.04542262,28299.422039238,1.2854338935079328,rebound_add,TWAP,21,0.7012183000000001,1577.5390533959915,0.926333714794957,2023-04-04T11:59:59.999000+00:00,1285.4338935079327
1680724799999,BUY,0.04465261,28250.524930016,1.2614596719952818,rebound_add,TWAP,21,0.74587091,314.8179217287145,0.9852742181581268,2023-04-05T19:59:59.999000+00:00,1261.4596719952817
