close_time,datetime_utc,realtime_interval,close,bid,ask,mid,cash,btc_qty,btc_value_mid,nav_mid,nav_liq,drawdown_mid,drawdown_liq,exposure,target_exposure,regime,kill_active,crash_cooldown_active,entry_price_avg,note
1634961599999,2021-10-23T03:59:59.999000+00:00,4h,61236.52,61221.210869999995,61251.829130000006,61236.52,6680.693867807453,0.24893317999999998,15243.801655733598,21924.495523541053,21920.684573127117,0.0640521933546857,0.06403222856217872,0.6952863129446161,0.7063447517525705,RISK_ON,False,False,52835.453211795306,
1634975999999,2021-10-23T07:59:59.999000+00:00,4h,60880.0,60864.78,60895.22000000001,60880.0,6680.693867807453,0.24893317999999998,15155.051998399998,21835.74586620745,21831.957103207853,0.06784088016997503,0.0678207075217937,0.6940478283296768,0.7063447517525705,RISK_ON,False,False,52835.453211795306,
1634990399999,2021-10-23T11:59:59.999000+00:00,4h,61552.23,61536.8419425,61567.61805750001,61552.23,6680.693867807453,0.24893317999999998,15322.3923499914,22003.086217798853,21999.25561971135,0.060697188545825176,0.06067740781624553,0.696374690273982,0.7063447517525705,RISK_ON,False,False,52835.453211795306,
1635004799999,2021-10-23T15:59:59.999000+00:00,4h,61446.87,61431.508282500006,61462.231717500006,61446.87,6680.693867807453,0.24893317999999998,15296.1647501466,21976.85861795405,21973.034576766517,0.061816834127724984,0.061796991971931,0.6960123380713911,0.7063447517525705,RISK_ON,False,False,52835.453211795306,
1635019199999,2021-10-23T19:59:59.999000+00:00,4h,61008.02,60992.767995,61023.272005,61008.02,6680.693867807453,0.24893317999999998,15186.920424103599,21867.61429191105,21863.817561805026,0.06648043002385884,0.06646033201295853,0.6944937029423152,0.7063447517525705,RISK_ON,False,False,52835.453211795306,
1635033599999,2021-10-23T23:59:59.999000+00:00,4h,61286.75,61271.4283125,61302.07168750001,61286.75,6680.693867807453,0.24893317999999998,15256.305569364999,21936.999437172453,21933.18536078011,0.06351840636172046,0.06349847085393945,0.6954599973008635,0.7421868906214748,RISK_ON,False,False,52835.453211795306,
1635047999999,2021-10-24T03:59:59.999000+00:00,4h,61227.76,61212.45306000001,61243.066940000004,61227.76,6680.693867807453,0.24893317999999998,15241.621001076799,21922.314868884252,21918.504463633984,0.06414528461605096,0.06412531471635285,0.6952560024904217,0.7421868906214748,RISK_ON,False,False,52835.453211795306,
1635062399999,2021-10-24T07:59:59.999000+00:00,4h,60687.82,60672.648045,60702.991955000005,60687.82,6680.693867807453,0.24893317999999998,15107.212019867598,21787.90588767505,21784.129084670087,0.06988314941759721,0.06986286472604264,0.6933760453047222,0.7421868906214748,RISK_ON,False,False,52835.453211795306,
1635076799999,2021-10-24T11:59:59.999000+00:00,4h,60281.0,60265.92975,60296.070250000004,60281.0,6680.693867807453,0.24893317999999998,15005.941023579999,21686.634891387454,21682.883406131557,0.07420636710579387,0.07418584523302862,0.6919441904534207,0.7421868906214748,RISK_ON,False,False,52835.453211795306,
1635091199999,2021-10-24T15:59:59.999000+00:00,4h,59859.97,59845.0050075,59874.934992500006,59859.97,6680.693867807453,0.24893317999999998,14901.132686804598,21581.826554612053,21578.10127144035,0.07868059242230119,0.07865982508371516,0.6904481717104809,0.7421868906214748,RISK_ON,False,False,52835.453211795306,
