trade_id,entry_price,exit_price,return_pct,pnl,days_held,qty,entry_reason,entry_ts,exit_ts,exit_compressed,exit_tightened,exit_double_compressed,exit_trail_dist_pct,exit_compression_ratio,exit_multiplier,exit_peak_profit,exit_current_profit,trade_noise_ratio,trade_bars,max_high_1d,max_return_1d,close_at_1d,close_return_1d,max_high_2d,max_return_2d,close_at_2d,close_return_2d,max_high_3d,max_return_3d,close_at_3d,close_return_3d,max_high_5d,max_return_5d,close_at_5d,close_return_5d,max_high_7d,max_return_7d,close_at_7d,close_return_7d,max_dd_7d
38,51475.14,53175.79,3.3,1623.76,9.83,0.98560253,vdo_trend,2021-04-25 04:00:00,2021-05-05 00:00:00,False,False,False,0.10593705159516749,1.1827370977135352,3.5,0.14206333387339992,0.06449812472583859,0.0,60,58069.82,0.09203492792490715,56797.09,0.06810053973810254,58360.0,0.09749192254595558,55705.67,0.04757578589805619,58650.0,0.10294553216792827,58099.98,0.09260210332559238,59500.0,0.11893025002543449,59356.76,0.11623654298318842,59500.0,0.11893025002543449,57756.94,0.08615104730931128,0.004216392459801709
41,42549.14,44022.75,3.46,649.13,19.17,0.45406897,vdo_trend_accel,2021-07-31 00:00:00,2021-08-19 04:00:00,False,False,False,0.07757038061273341,1.005854860583329,3.5,0.1234069595766213,0.04961016838413192,0.0,116,47390.0,0.07648886087307132,46833.48,0.06384721536023995,49382.99,0.12176068055721186,48944.23,0.11179401559420989,49757.04,0.13025742371841834,49195.01,0.11749061564759135,50500.0,0.14713415222810933,49770.13,0.1305547699768869,50500.0,0.14713415222810933,46891.75,0.06517084916321675,0.0022919967516795625
42,47462.88,46810.14,-1.38,-632.71,6.67,0.90447005,vdo_trend_accel,2021-08-19 20:00:00,2021-08-26 12:00:00,False,False,False,0.07374024817119754,1.0651863133565118,3.5,0.061773958933802615,-0.01396628270345157,0.0,41,48451.51,0.035064411257902724,48184.67,0.029363936958958014,49299.0,0.05316924922677011,48811.12,0.04274672111640775,49632.27,0.06028886049048342,48474.95,0.035565157463746055,49632.27,0.06028886049048342,47397.13,0.012539804409899179,50450.13,0.07776071594744212,49540.7,0.05833266040221195,-0.009872647251215215
43,48660.64,46424.86,-4.59,-2330.96,11.5,1.02136052,vdo_trend_accel,2021-08-27 16:00:00,2021-09-08 04:00:00,False,False,False,0.1305707544151,1.4545644740238795,3.5,0.08226895495003769,-0.07357774168198356,0.06666666666666667,70,46900.0,0.010234602753783198,46275.0,-0.00322801188845805,47399.97,0.02100404826207339,46160.55,-0.005693285881745204,47399.97,0.02100404826207339,45043.97,-0.02974462389331921,47399.97,0.02100404826207339,44470.63,-0.04209447265969145,47470.0,0.022512507307507215,47172.84,0.016111626400165686,-0.06580224474559537
44,45068.75,44805.36,-0.58,-104.5,9.0,0.33907451,vdo_trend,2021-09-11 08:00:00,2021-09-20 08:00:00,False,False,False,0.08994173404416046,1.212774003061502,3.5,0.07884088198585498,-0.029488281791707115,0.0,55,44250.0,-0.012394945604722304,43288.97,-0.0338439418855244,44250.0,-0.012394945604722304,41928.32,-0.06421196035474329,44386.6,-0.009346203222114543,43648.15,-0.02582749028241262,45200.0,0.008807874772125465,42485.03,-0.051786884426327603,45200.0,0.008807874772125465,43747.69,-0.023605881082084782,-0.11617717165981928
45,43662.0,62158.95,42.36,20188.79,29.33,1.09514603,vdo_trend_accel,2021-09-22 16:00:00,2021-10-22 00:00:00,False,True,False,0.06376663599387737,1.1547347323287955,2.5,0.5316712473088727,0.4483509688058266,0.008,177,63732.39,0.02531316890005385,61236.52,-0.014839858137886826,63732.39,0.02531316890005385,61227.76,-0.014980787159371178,63732.39,0.02531316890005385,62084.26,-0.0012015968738209872,63732.39,0.02531316890005385,60714.34,-0.02324057919253785,63732.39,0.02531316890005385,61642.99,-0.00830065501428192,-0.06980410705135781
46,62611.83,63718.13,1.77,1108.24,18.33,1.06296789,vdo_trend_accel,2021-10-25 04:00:00,2021-11-12 12:00:00,False,False,False,0.07025762397626957,1.03005320191932,3.5,0.0938827374954541,0.008690210779656185,0.0,111,64890.0,0.018391468801736692,64688.99,0.015236793672381795,65320.0,0.025139940547533372,64070.41,0.005528724713044876,66401.82,0.0421181538127376,64288.16,0.008946119416875639,66401.82,0.0421181538127376,59664.49,-0.06361831397123549,66401.82,0.0421181538127376,57887.98,-0.09149907569478255,-0.12740690914814978
49,48787.83,47663.23,-2.31,-911.52,13.83,0.77757134,vdo_trend_accel,2021-12-15 00:00:00,2021-12-28 20:00:00,False,False,False,0.07019590308611878,1.0960900470997486,3.5,0.054577955199073165,-0.02550000686646657,0.0,84,48139.08,0.009983586928540062,46464.66,-0.02514663819468382,48139.08,0.009983586928540062,47120.87,-0.011379002220369886,48548.26,0.01856840167986934,46216.93,-0.0303441457912106,48548.26,0.01856840167986934,47286.18,-0.00791071020574986,48548.26,0.01856840167986934,45832.01,-0.03841997279664012,-0.04538571976762806
51,28437.6,29821.89,4.87,2545.58,18.0,1.8793877,vdo_trend_accel,2023-03-30 08:00:00,2023-04-17 08:00:00,False,False,False,0.03513218057403795,0.9741556332647301,3.5,0.08313957577292039,0.03984900272878171,0.0,109,30381.68,0.01877111075119655,30380.59,0.01873456041853822,30485.0,0.02223567989822243,29310.65,-0.017143111989213224,30485.0,0.02223567989822243,28607.13,-0.04073383678901634,30485.0,0.02223567989822243,27286.65,-0.08501272052173749,30485.0,0.02223567989822243,27550.84,-0.07615379172815671,-0.0904332354522131
53,27670.08,28155.15,1.75,773.64,9.0,1.69317855,vdo_dip_buy,2023-04-22 16:00:00,2023-05-01 16:00:00,False,False,False,0.05743927465202096,1.0097820768467929,3.5,0.07769945009194035,0.006262359920896464,0.0,55,28879.88,0.02574058387186712,28686.14,0.018859427138551845,28879.88,0.02574058387186712,28322.98,0.005960898805369466,29379.83,0.043497548405886675,28895.12,0.026281870279504727,29820.0,0.05913127793671845,28842.82,0.02442430603282164,29820.0,0.05913127793671845,27340.72,-0.02892650190107317,-0.030749614191364707
