ema_ratio,bars_held,atr_pctl,bar_range_atr,dd_from_peak,bars_since_peak,close_position,vdo_at_exit,d1_regime_str,trail_tightness,label
1.022045,58.000000,0.250000,0.353920,0.032553,6.000000,0.180826,-0.003195,0.014389,0.032262,1
1.011198,15.000000,0.210000,1.753987,0.035623,4.000000,0.215259,-0.005302,0.012893,0.028831,1
1.040707,53.000000,0.290000,1.042960,0.041858,13.000000,0.277295,-0.010998,0.036832,0.042047,1
1.034240,26.000000,0.680000,0.595422,0.043202,6.000000,0.284654,-0.007343,0.025593,0.045060,0
1.023572,24.000000,0.080000,1.363916,0.040517,20.000000,0.231024,-0.025127,0.024849,0.036427,0
1.038421,89.000000,0.130000,2.051515,0.033972,14.000000,0.429576,-0.012567,0.046912,0.030391,1
1.022384,7.000000,0.790000,1.842399,0.050591,4.000000,0.401931,-0.002818,0.011529,0.042759,0
1.000235,16.000000,0.430000,1.982742,0.041156,13.000000,0.130020,-0.009977,-0.000431,0.037559,0
1.032171,60.000000,0.250000,0.729091,0.031574,14.000000,0.104091,-0.002491,0.030595,0.030949,1
1.041283,42.000000,0.760000,1.053482,0.036355,11.000000,0.061379,-0.006868,0.066643,0.037114,1
1.086776,138.000000,0.310000,1.454649,0.045417,21.000000,0.128324,-0.012759,0.100604,0.045748,1
1.037542,77.000000,0.660000,1.033021,0.047352,26.000000,0.032175,0.001049,0.059496,0.048678,1
1.040188,55.000000,0.650000,1.791556,0.062344,11.000000,0.068054,-0.016196,0.064557,0.050096,1
1.014554,9.000000,0.450000,2.979556,0.041897,4.000000,0.209838,-0.024477,0.047756,0.039128,0
1.034240,44.000000,0.810000,0.718013,0.058155,18.000000,0.466417,-0.010763,0.037555,0.059947,1
1.027071,19.000000,0.220000,1.737663,0.042172,15.000000,0.265847,-0.013803,0.014471,0.043239,1
1.010768,24.000000,0.010000,0.672337,0.038233,12.000000,0.260709,-0.017991,0.005980,0.037304,0
1.005713,9.000000,0.380000,1.612117,0.038316,8.000000,0.058760,-0.019468,0.013828,0.036661,0
1.039341,121.000000,0.180000,1.995829,0.031363,14.000000,0.078571,-0.045468,0.045005,0.025617,1
1.041388,117.000000,0.750000,0.716849,0.040444,20.000000,0.555649,-0.022459,0.038244,0.038692,1
1.026345,17.000000,0.470000,1.174349,0.040025,13.000000,0.060461,0.000710,0.023429,0.036941,1
1.015342,21.000000,0.280000,0.955794,0.030591,9.000000,0.027544,-0.014280,0.023187,0.028227,0
1.009905,33.000000,0.170000,1.902772,0.023488,9.000000,0.213150,-0.019919,0.010517,0.023163,1
1.050867,72.000000,1.000000,2.180407,0.045525,5.000000,0.099477,0.004838,0.068422,0.036419,1
1.021212,59.000000,0.710000,2.255527,0.039954,42.000000,0.028455,-0.022613,0.021807,0.035962,1
1.008904,29.000000,0.360000,1.341670,0.030578,24.000000,0.177230,-0.010690,0.008898,0.028781,0
1.019307,30.000000,1.000000,2.411792,0.041187,3.000000,0.176074,-0.011581,0.048197,0.037352,0
1.012404,62.000000,0.010000,0.775506,0.016840,17.000000,0.560007,-0.008329,0.010265,0.016398,0
1.040142,38.000000,0.980000,0.771079,0.032516,7.000000,0.072370,-0.019273,0.060642,0.033173,1
1.025543,14.000000,1.000000,2.066575,0.054990,12.000000,0.202360,-0.010293,0.027268,0.043600,0
1.001499,13.000000,0.330000,1.485140,0.040300,8.000000,0.139381,-0.004195,0.004852,0.037946,0
1.019773,30.000000,0.840000,1.022292,0.037008,14.000000,0.183869,-0.016117,0.015150,0.034629,1
1.026778,56.000000,0.130000,0.314086,0.023021,21.000000,0.000000,-0.021922,0.029200,0.023292,1
1.011294,11.000000,0.480000,1.714656,0.031900,10.000000,0.546205,-0.025961,0.001404,0.029173,0
