feature,h,folds,mean_test_ic,med_test_ic,mean_test_edge,mean_test_net_trade_edge,weighted_test_mean,weighted_test_base,weighted_test_edge,weighted_test_net_trade_edge,mean_freq,total_count,fold_positive_edge_frac,channel
x_contraction,12,4,-0.02096204431774024,-0.019738551959638133,-0.0016097294948991198,7.215902033656948e-05,0.0016000819021721776,0.0033735268747836084,-0.0017734449726114303,-0.0003999180978278224,0.20354791400131056,1784,0.5,volatility_range
d1_vol_5,6,4,0.009627523472417129,0.019384421787994027,-0.00028289606258262814,-0.0004481835838391851,0.0015751129710573036,0.001753871511913288,-0.00017875854085598432,-0.00042488702894269637,0.2410977106541434,2113,0.0,volatility_range
h4_ret_12,12,4,-0.027759699352228027,-0.017355402825710287,-0.0007506707700270876,0.0009312177452086014,0.0015722883351349567,0.003303840338336397,-0.0017315520032014401,-0.0004277116648650436,0.21196809893801813,1858,0.5,price_trend_pullback
d1_ret_5,3,4,-0.016330298345340645,-0.01388837415778471,4.39176819423267e-05,-0.0010580180399430309,0.0015718307434098465,0.0012906300061603269,0.0002812007372495197,-0.00042816925659015353,0.16903116256331846,1482,0.25,price_trend_pullback
x_breakout_flow,3,4,-0.022746623382091997,-0.018506609590588568,0.00019917093365870068,-0.0009027647882266568,0.0014905991384242328,0.0011600617656832854,0.00033053737274094753,-0.0005094008615757671,0.09710061264184897,851,0.75,flow_volume
h4_ret_12,6,4,0.036988904187295134,0.044501928423787675,4.386964367770465e-05,-0.00012141787757885244,0.0014167110135985409,0.0014128529997311547,3.858013867387005e-06,-0.000583288986401459,0.1979706888840349,1735,0.5,price_trend_pullback
d1_tbuyz_5,6,4,0.013090765335942533,0.03331028573259551,-0.0002540469199850277,-0.0004193344412415849,0.0014042792104985132,0.0016664778581265693,-0.00026219864762805643,-0.000595720789501487,0.20605204855368678,1806,0.25,flow_volume
d1_dist_high_20,3,4,-0.03213263708995098,-0.0294882816596719,0.0001497526499415282,-0.0009521830719438292,0.0013983076151511547,0.0012950628612096301,0.0001032447539415246,-0.0006016923848488451,0.24215657211803499,2123,0.75,price_trend_pullback
d1_volz_20,12,4,0.005815249378571592,0.021484405721344427,-0.0010045831057588113,0.0006773054094768782,0.0013804860059337036,0.0033498517987265624,-0.00196936579279286,-0.0006195139940662966,0.21276250507067745,1865,0.25,flow_volume
h4_ret_24,6,4,0.029935961520184656,0.030164592430609802,0.0001427227306398356,-2.2564790616721488e-05,0.0013531823907476626,0.0012115572395527425,0.00014162515119492056,-0.0006468176092523375,0.19843433082659842,1739,0.5,price_trend_pullback
d1_tbuyz_5,12,4,-0.007511802893997723,-0.0007875001264044152,-0.0020174177992624037,-0.0003355292840267144,0.0013273631161899281,0.003340974790004857,-0.0020136116738149294,-0.0006726368838100716,0.20605204855368678,1806,0.25,flow_volume
d1_tbuyz_5,3,4,0.021192051515000858,0.031183667318069618,0.00047813949861609664,-0.0006237962232692609,0.0012793449672315212,0.0008147393767692467,0.00046460559046227417,-0.000720655032768479,0.20605204855368678,1806,0.5,flow_volume
x_contraction,3,4,0.017838806193895055,0.008178323532326687,0.00037375477032851984,-0.0007281809515568376,0.001278827949532544,0.0008865609081919668,0.0003922670413405772,-0.000721172050467456,0.19875339345336537,1742,0.75,volatility_range
d1_ret_2,6,4,-0.005641945593944867,-0.008182185805041016,-0.0006344083818386507,-0.0007996959030952077,0.0012678994172995923,0.0016863202116624465,-0.00041842079436285405,-0.0007321005827004079,0.2177848160514245,1909,0.5,price_trend_pullback
d1_ret_5,12,4,-0.022212866847488185,-0.02300475495754294,-0.0036185898205102042,-0.0019367013052745152,0.001250008364089169,0.0044699327059010835,-0.003219924341811914,-0.0007499916359108308,0.16578956948648338,1453,0.25,price_trend_pullback
close_loc,1,4,0.08766888246105765,0.08963103727579315,0.0008636216066064152,-0.0008339443514116371,0.0012222268764142115,0.0002910628092606858,0.0009311640671535256,-0.0007777731235857888,0.2227140345950219,1952,1.0,bar_shape
h4_tbuyz_24,3,4,0.016489950430054925,0.017336237135438838,0.00023579622283334916,-0.0008661394990520083,0.0011638037406098913,0.0009348507835586463,0.00022895295705124488,-0.000836196259390109,0.20433399902226937,1791,0.75,flow_volume
d1_vol_5,3,4,0.00011978448977060293,0.0031454691788930355,0.0001294343532990363,-0.0009725013685863212,0.0011233454025984348,0.0009244165571298249,0.0001989288454686099,-0.0008766545974015652,0.32328949147606123,2833,0.75,volatility_range
body_pct,3,4,0.017392624226900164,0.01650055956764686,0.00010127942262043557,-0.0010006562992649218,0.0011192129576017079,0.0008714402002295708,0.0002477727573721369,-0.0008807870423982922,0.20365062772386391,1785,0.5,bar_shape
h4_tbuyz_24,1,4,0.05044814667533855,0.0524703898409163,0.0007703368986588475,-0.0009272290593592048,0.0010904183110921316,0.0003146436148747,0.0007757746962174315,-0.0009095816889078684,0.20433399902226937,1791,1.0,flow_volume
x_range_expand,3,4,0.014402134227079625,0.010811868483506168,0.0002251392684280238,-0.0008767964534573336,0.0010827293246073225,0.0008606150349970315,0.000222114289610291,-0.0009172706753926776,0.2092486556203909,1834,0.5,volatility_range
h4_trendvol_24,6,4,-0.0035683071168405964,-0.011334238006268496,-0.0002723276828524423,-0.00043761520410899937,0.0010753921280572917,0.0016271119650676236,-0.0005517198370103321,-0.0009246078719427085,0.2300951207081266,2017,0.5,price_trend_pullback
