signal,rule_type,fold,direction,threshold,sharpe,cagr,mdd,trades,oos_sharpe,oos_cagr,oos_mdd,oos_trades
osc_12_28_imbalance_ratio_quote,train_threshold,2,ge,0.000614554065,1.5899838954708667,0.7753069190807886,-0.37047495985587087,104,1.5487440009129958,0.5838704704718456,-0.273148715227552,44.0
osc_12_28_imbalance_ratio_quote,train_threshold,3,ge,-0.003382111314,1.5996014899254334,0.7693527234111592,-0.37383379849290943,162,1.5096489168219203,0.5207780873817736,-0.1769552305540294,30.0
osc_12_28_imbalance_ratio_quote,train_threshold,4,ge,0.0,1.5924805354061733,0.7151377324820019,-0.3709393067151705,180,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12.0
pos_count4_imbalance_ratio_quote,train_threshold,1,ge,4.0,1.8063169924692066,0.7968946946128956,-0.3878034574717957,45,-0.28568622267988203,-0.1026047320809077,-0.3765349723051905,19.0
pos_count4_imbalance_ratio_quote,train_threshold,2,ge,2.0,1.3082743405740287,0.6023368638178797,-0.4618430051680942,117,1.5089289390673828,0.5903000743628308,-0.2800176014460827,47.0
pos_count4_imbalance_ratio_quote,train_threshold,3,ge,2.0,1.3462376310804998,0.599200581333984,-0.4618430051680942,164,1.1349477926999425,0.3440908182407514,-0.17765579652385788,30.0
pos_count4_imbalance_ratio_quote,train_threshold,4,ge,3.0,1.3689814528080577,0.5462633642269523,-0.3526010157403583,156,-0.3454326386172038,-0.06554653491880014,-0.15387075655337334,12.0
net_quote_norm_28,fixed_natural,1,ge,0.0,0.4109347624925218,0.08538686522755268,-0.362627462787805,34,,,,
net_quote_norm_28,fixed_natural,2,ge,0.0,1.4772486784277015,0.5839292724972229,-0.27455828452140785,52,,,,
net_quote_norm_28,fixed_natural,3,ge,0.0,1.0460123647752775,0.32060611379615556,-0.21299724185200375,32,,,,
net_quote_norm_28,fixed_natural,4,ge,0.0,-0.42052776853090873,-0.08062690263351813,-0.16185480366355887,14,,,,
net_quote_norm_28,train_threshold,1,ge,0.058121645544,1.7299555510118845,0.95031324054292,-0.33851969933255643,71,0.20852301047586902,0.01919084216975997,-0.33714473966344505,19.0
net_quote_norm_28,train_threshold,2,ge,0.065877987807,1.3281996759525476,0.5502473515400172,-0.298291707576396,83,1.04279404814065,0.28214530523827097,-0.30344239130301687,32.0
net_quote_norm_28,train_threshold,3,ge,0.12928349378,1.35038680116328,0.44830013675664393,-0.30081748841333233,83,0.43311706856334825,0.07606980502729965,-0.24611243889755674,22.0
net_quote_norm_28,train_threshold,4,le,0.019930676991,1.2918601163826298,0.5752706278347222,-0.472431216485678,225,-0.28395972330355823,-0.06365883057094102,-0.16389021250682478,16.0
ema12_net_quote_norm_28,fixed_natural,1,ge,0.0,0.45799178475731805,0.0995798073095513,-0.3859162195767034,28,,,,
ema12_net_quote_norm_28,fixed_natural,2,ge,0.0,1.296423130252387,0.43551807642849605,-0.28208790753095847,37,,,,
ema12_net_quote_norm_28,fixed_natural,3,ge,0.0,1.0490786049631415,0.2859504134572175,-0.23271206684961576,24,,,,
ema12_net_quote_norm_28,fixed_natural,4,ge,0.0,-0.08033123909058112,-0.024657038575978563,-0.16289008487869427,11,,,,
ema12_net_quote_norm_28,train_threshold,1,ge,0.052525494497,2.0019389497059428,0.7315964468375378,-0.22791656925347514,33,0.1963213989571877,0.014228303309054002,-0.06648073678204647,3.0
ema12_net_quote_norm_28,train_threshold,2,ge,0.05847022237,1.6009479955217534,0.43041578929742497,-0.22489140664474094,34,1.3913957183683137,0.2664965759015423,-0.22111059237224429,8.0
ema12_net_quote_norm_28,train_threshold,3,ge,0.069386568004,1.4852815318919839,0.3305132045893069,-0.2248914066447404,34,0.05791533912688393,-0.003745834507923207,-0.1531058832915866,10.0
ema12_net_quote_norm_28,train_threshold,4,ge,0.02536402431,1.2740385927039608,0.3912449728802956,-0.29615728461478075,96,-0.6837140335401493,-0.10074607512301048,-0.20181729239215196,10.0
ema28_net_quote_norm_28,fixed_natural,1,ge,0.0,0.03557827843496897,-0.031051714527431384,-0.42042252300737026,25,,,,
ema28_net_quote_norm_28,fixed_natural,2,ge,0.0,0.6535857327259724,0.15954097043251458,-0.2714173231443199,31,,,,
ema28_net_quote_norm_28,fixed_natural,3,ge,0.0,0.6843838853565888,0.15409973316559844,-0.20074924581334652,21,,,,
ema28_net_quote_norm_28,fixed_natural,4,ge,0.0,-0.8290842730285642,-0.12725030473727306,-0.21753616863060787,11,,,,
ema28_net_quote_norm_28,train_threshold,1,le,-0.045779897251,1.8506484286535982,0.5403207417325535,-0.22230495902951442,21,,0.0,0.0,0.0
ema28_net_quote_norm_28,train_threshold,2,ge,0.023682610947,1.343999877537019,0.391177274563399,-0.2771130805293449,46,0.6593154696247232,0.10730041674568547,-0.21009856839732977,10.0
ema28_net_quote_norm_28,train_threshold,3,ge,0.015934648425,1.3101391465419998,0.3885820160562483,-0.3029418916763421,67,0.5034032706149676,0.08336039333861822,-0.19463133884497785,13.0
ema28_net_quote_norm_28,train_threshold,4,ge,0.014339980689,1.2498519039574536,0.3747309825347833,-0.3373727632446255,85,-0.5445347408224208,-0.07748596956113873,-0.18027286436626444,9.0
osc_12_28_net_quote_norm_28,fixed_natural,1,ge,0.0,0.6130511461276104,0.1570312139352834,-0.331807938399747,29,,,,
