fold,direction,threshold,sharpe,cagr,mdd,end_equity,bar_count,oos_trades,oos_cont_decisions,signal,measurement,operator,role,rule_type
2,le,-0.1376717707364548,1.5375055975163145,0.5856032823972903,-0.30918733110768204,19939.803028168015,3282,47,0,imbalance_ratio_quote,imbalance_ratio_quote,level,stateful,train_threshold
3,le,-0.0580039940279034,1.4195568662556417,0.4616824672508668,-0.21049347562408027,14610.496618345187,2190,28,16,imbalance_ratio_quote,imbalance_ratio_quote,level,stateful,train_threshold
4,le,-0.13151179108137068,-0.033001327047167114,-0.01857698829088661,-0.12303369224000027,9876.104777556295,1458,12,3,imbalance_ratio_quote,imbalance_ratio_quote,level,stateful,train_threshold
1,ge,0.0,0.49876995960428927,0.1165326191319056,-0.3975756180890371,11801.37815477906,3294,29,3,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,one_shot,fixed_natural
2,ge,0.0,1.7441103383892187,0.7099431506039793,-0.2780636982622211,22325.853002852273,3282,47,4,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,one_shot,fixed_natural
3,ge,0.0,1.7884319448507815,0.6482435213447442,-0.13236946834247354,16473.04199688409,2190,28,3,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,one_shot,fixed_natural
4,ge,0.0,0.08960746212296053,0.0011976783515559308,-0.1158206572979793,10007.961064609532,1458,11,2,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,one_shot,fixed_natural
1,ge,-0.03448643313705218,-0.06632347727809483,-0.08092135532966616,-0.5109576536617959,8809.12674076392,3294,27,23,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,one_shot,train_threshold
2,le,-0.063353948391617,1.5042632242211886,0.5711696271302247,-0.30918733110768204,19668.670210116343,3282,46,5,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,one_shot,train_threshold
3,ge,0.0118218980120806,1.818573333257709,0.6554226646434065,-0.13236946834247343,16544.710487751716,2190,28,0,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,one_shot,train_threshold
4,never,,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,9889.008977112977,1458,12,0,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,one_shot,train_threshold
1,ge,0.0,0.696802900528916,0.1904690739519157,-0.33664553331805,12994.986834932777,3294,29,3,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,stateful,fixed_natural
2,ge,0.0,1.682083301329954,0.6743639323602026,-0.3004363965616771,21633.9781486463,3282,47,4,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,stateful,fixed_natural
3,ge,0.0,1.7310493111879108,0.6098233177705319,-0.13270895212146283,16089.491812250017,2190,28,3,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,stateful,fixed_natural
4,ge,0.0,0.034833759746915154,-0.007600257852288017,-0.11943296329675246,9949.405761247064,1458,11,2,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,stateful,fixed_natural
1,ge,-0.01479463976990263,0.1631455243827464,-0.0014710791354085595,-0.4650544589598353,9977.903389307787,3294,27,12,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,stateful,train_threshold
2,ge,0.017495305660116985,1.5375055975163145,0.5856032823972903,-0.30918733110768204,19939.803028168015,3282,47,0,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,stateful,train_threshold
3,ge,-0.010933766682100934,1.6600707217369401,0.5675499705195983,-0.1701558861048319,15667.463487741989,2190,28,5,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,stateful,train_threshold
4,ge,-0.012247256826983114,0.03574129615035641,-0.00766496750066048,-0.11947113729450243,9948.97443850012,1458,11,3,ema12_imbalance_ratio_quote,imbalance_ratio_quote,ema12,stateful,train_threshold
1,ge,0.0,0.423524813273656,0.08942281545654929,-0.3994085686938478,11373.451882910977,3294,29,4,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,one_shot,fixed_natural
2,ge,0.0,1.5847153958601352,0.6354513082199789,-0.2780636982622211,20885.609260547008,3282,47,6,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,one_shot,fixed_natural
3,ge,0.0,1.8137455264945235,0.654684836904589,-0.13236946834247343,16537.34486196396,2190,28,2,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,one_shot,fixed_natural
4,ge,0.0,-0.04975178243642704,-0.021887913474561427,-0.12788201807097188,9853.941054139208,1458,11,3,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,one_shot,fixed_natural
1,ge,0.004927182305456679,0.5575573203223144,0.13821058622623372,-0.3799149508540842,12147.347240300234,3294,30,1,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,one_shot,train_threshold
2,ge,0.005727600033171039,1.6871916294485876,0.6772099342416007,-0.30918733110768204,21689.055096987882,3282,47,1,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,one_shot,train_threshold
3,ge,0.0021000847708905405,1.8595303817276576,0.6763800728017482,-0.13236946834247354,16753.923653129426,2190,28,1,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,one_shot,train_threshold
4,ge,0.014817918607362436,0.16606607662751888,0.013890490068299455,-0.10838399637694351,10092.136083583608,1458,11,1,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,one_shot,train_threshold
1,ge,0.0,0.6657814960571276,0.17879978354633308,-0.34462662169716374,12804.054489041631,3294,29,4,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,stateful,fixed_natural
2,ge,0.0,1.602415392385825,0.6366700563153624,-0.3063877217537724,20908.9153101428,3282,47,6,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,stateful,fixed_natural
3,ge,0.0,1.8689093481501644,0.6811674727597932,-0.13236946834247332,16801.714786922534,2190,28,2,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,stateful,fixed_natural
4,ge,0.0,0.060128856593868914,-0.0035249760342458414,-0.11703052035528472,9976.550633410798,1458,11,3,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,stateful,fixed_natural
1,ge,-0.003384671304341452,0.5861112543974808,0.14824797341324403,-0.36008473765450144,12308.667823102573,3294,28,8,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,stateful,train_threshold
2,ge,-0.0006491308655189134,1.5700553360380767,0.6190408035612007,-0.3063877217537724,20572.634153606185,3282,47,7,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,stateful,train_threshold
3,ge,-0.0026420820998512024,1.770364660523764,0.6335108919243564,-0.13236946834247332,16325.966880562448,2190,28,3,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,stateful,train_threshold
4,ge,-0.0034259870960466703,0.07801101332920249,-0.0006077506611606998,-0.11531279195850963,9995.959010166662,1458,11,3,ema28_imbalance_ratio_quote,imbalance_ratio_quote,ema28,stateful,train_threshold
1,ge,0.0,0.4567983956199104,0.10096693604080165,-0.4014314891320221,11555.028502134866,3294,29,4,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,one_shot,fixed_natural
2,ge,0.0,1.5090106504389469,0.5706997076610252,-0.30985404587453336,19659.86361912451,3282,46,9,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,one_shot,fixed_natural
3,ge,0.0,1.6891049463464842,0.5950131258683624,-0.13134745083413157,15941.638393209541,2190,27,5,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,one_shot,fixed_natural
4,ge,0.0,0.08217855994591108,0.00010020606364946616,-0.1158206572979793,10000.666200242498,1458,11,3,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,one_shot,fixed_natural
1,le,-0.014953426783015105,0.39722352474672984,0.0800082178395527,-0.44139343007839227,11226.084196649239,3294,31,4,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,one_shot,train_threshold
2,le,-0.017512177212311096,1.5640654352307035,0.6026225336809006,-0.30918733110768204,20261.085224250473,3282,47,1,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,one_shot,train_threshold
3,le,-0.016261952382754873,1.3916284084063042,0.47092179928306077,-0.2230999785681349,14702.744252977724,2190,28,6,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,one_shot,train_threshold
4,never,,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,9889.008977112977,1458,12,0,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,one_shot,train_threshold
1,ge,0.0,0.6619233925650839,0.17612584498997386,-0.33330263275769045,12760.436925186776,3294,29,4,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,stateful,fixed_natural
2,ge,0.0,1.3930892300311766,0.5094046623798576,-0.31551981746094093,18522.45676752209,3282,47,9,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,stateful,fixed_natural
3,ge,0.0,1.7755238390355366,0.6325859102388198,-0.12889252299349852,16316.732783456719,2190,27,5,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,stateful,fixed_natural
4,ge,0.0,0.2567070614163697,0.028573348198682735,-0.11336992209496244,10189.069214144287,1458,11,3,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,stateful,fixed_natural
1,never,,0.606679459597133,0.1565414550920552,-0.3648484810818692,12442.496494843084,3294,31,0,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,stateful,train_threshold
2,never,,1.5375055975163145,0.5856032823972903,-0.30918733110768204,19939.803028168015,3282,47,0,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,stateful,train_threshold
3,never,,1.818573333257709,0.6554226646434065,-0.13236946834247343,16544.710487751716,2190,28,0,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,stateful,train_threshold
4,never,,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,9889.008977112977,1458,12,0,osc_12_28_imbalance_ratio_quote,imbalance_ratio_quote,osc_12_28,stateful,train_threshold
1,ge,1.0,0.3429268007572595,0.060652312841170675,-0.4238310452860973,10925.131243566431,3294,27,15,pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,one_shot,train_threshold
2,ge,1.0,2.0415414427263525,0.9337870307477387,-0.20378237102622254,26840.842771639345,3282,37,27,pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,one_shot,train_threshold
3,ge,1.0,1.1935423154658278,0.3970698321641095,-0.21693052056412598,13965.370246956236,2190,27,16,pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,one_shot,train_threshold
4,ge,1.0,0.36664933994120225,0.048803672641298146,-0.10602826129932763,10321.869435116874,1458,9,8,pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,one_shot,train_threshold
1,le,0.0,0.19213871744027913,0.0076137963412015175,-0.4718335955108188,10114.625348454061,3294,31,12,pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,stateful,train_threshold
2,never,,1.5375055975163145,0.5856032823972903,-0.30918733110768204,19939.803028168015,3282,47,0,pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,stateful,train_threshold
3,never,,1.818573333257709,0.6554226646434065,-0.13236946834247343,16544.710487751716,2190,28,0,pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,stateful,train_threshold
4,never,,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,9889.008977112977,1458,12,0,pos_count4_imbalance_ratio_quote,imbalance_ratio_quote,pos_count4,stateful,train_threshold
1,ge,0.0,0.6812633702931004,0.18743386800076722,-0.3391852629330816,12945.23401864934,3294,30,2,net_quote_norm_28,net_quote_norm_28,level,one_shot,fixed_natural
2,ge,0.0,1.5751232348583857,0.6072198900959918,-0.30985404587453336,20348.16430020136,3282,47,6,net_quote_norm_28,net_quote_norm_28,level,one_shot,fixed_natural
3,ge,0.0,1.8137455264945235,0.654684836904589,-0.13236946834247343,16537.34486196396,2190,28,2,net_quote_norm_28,net_quote_norm_28,level,one_shot,fixed_natural
4,ge,0.0,0.06036072333350236,-0.0036698487524410295,-0.1158206572979793,9975.586295456083,1458,11,3,net_quote_norm_28,net_quote_norm_28,level,one_shot,fixed_natural
1,ge,-0.14699169196849093,-0.09438857574520272,-0.08821998197920244,-0.5369078944547783,8704.22013380037,3294,27,20,net_quote_norm_28,net_quote_norm_28,level,one_shot,train_threshold
2,never,,1.5375055975163145,0.5856032823972903,-0.30918733110768204,19939.803028168015,3282,47,0,net_quote_norm_28,net_quote_norm_28,level,one_shot,train_threshold
