symbol,interval,open_time,close_time,open,high,low,close,volume,quote_volume,num_trades,taker_buy_base_vol,taker_buy_quote_vol
BTCUSDT,15m,1773810900000,1773811799999,74285.29,74285.29,74050.0,74066.32,79.11022,5866413.6919701,18437,21.29295,1579030.3637498
BTCUSDT,15m,1773811800000,1773812699999,74066.31,74150.0,74000.0,74000.01,127.0153,9405945.9643798,19349,64.31271,4762190.1294513
BTCUSDT,15m,1773812700000,1773813599999,74000.0,74060.0,73830.76,73950.0,255.80055,18916031.8898694,31567,100.31913,7419550.2533052
BTCUSDT,15m,1773813600000,1773814499999,73950.01,74101.43,73942.0,74094.02,84.51504,6257331.1208245,20125,54.85856,4061999.4076785
BTCUSDT,15m,1773814500000,1773815399999,74094.02,74225.82,74034.67,74171.55,112.85283,8363889.097512,22858,73.72227,5464197.2985336
BTCUSDT,15m,1773815400000,1773816299999,74171.56,74212.44,74006.02,74063.01,215.52549,15968959.2419701,19645,144.60582,10710941.4548683
BTCUSDT,15m,1773816300000,1773817199999,74063.01,74109.47,73938.1,73954.03,239.89918,17763772.3227263,24289,57.61944,4264936.9122397
BTCUSDT,15m,1773817200000,1773818099999,73954.03,73997.04,73860.01,73975.68,90.81667,6715013.1301747,24927,53.32911,3943611.1838553
BTCUSDT,15m,1773818100000,1773818999999,73975.68,73986.17,73812.0,73847.07,129.95436,9604818.222117,19446,75.71199,5595248.0631783
BTCUSDT,15m,1773819000000,1773819899999,73847.08,73847.08,73700.01,73710.01,182.58361,13467516.8633331,29808,62.67632,4623714.5353279
BTCUSDT,15m,1773819900000,1773820799999,73710.01,73912.4,73700.01,73883.8,101.36906,7486220.4246006,21492,62.84292,4640750.0151657
BTCUSDT,15m,1773820800000,1773821699999,73883.8,74035.17,73863.31,74010.01,144.70292,10703022.6665402,27595,92.35789,6831841.3412346
BTCUSDT,15m,1773821700000,1773822599999,74010.01,74072.92,73970.0,74045.92,214.72708,15895634.5510378,27850,144.90684,10727138.8881537
BTCUSDT,15m,1773822600000,1773823499999,74045.91,74121.33,73971.64,74082.0,229.4808,16991125.0918932,28000,124.30147,9202652.5391969
BTCUSDT,15m,1773823500000,1773824399999,74082.0,74130.02,74022.69,74044.89,146.59384,10859894.6641037,20395,82.98664,6147792.6797614
BTCUSDT,15m,1773824400000,1773825299999,74044.9,74193.98,74042.85,74172.59,87.34946,6474625.2668718,20585,47.12476,3493115.6119601
BTCUSDT,15m,1773825300000,1773826199999,74172.59,74229.99,74120.0,74164.25,101.1796,7504728.1031954,19577,61.55802,4565956.4240836
BTCUSDT,15m,1773826200000,1773827099999,74164.24,74281.33,74142.39,74248.25,96.89227,7191504.0595167,21527,61.28665,4548808.1140064
BTCUSDT,15m,1773827100000,1773827999999,74248.26,74274.48,74115.78,74181.08,61.74225,4580456.3430734,16785,21.23042,1574787.7931635
BTCUSDT,15m,1773828000000,1773828899999,74181.08,74267.77,74100.54,74259.37,66.12403,4906933.3915813,21624,45.89491,3406195.8488632
BTCUSDT,15m,1773828900000,1773829799999,74259.36,74259.36,74178.57,74185.62,80.32315,5960745.911017,17473,56.78836,4214255.0201421
BTCUSDT,15m,1773829800000,1773830699999,74185.62,74211.06,73870.49,73882.83,160.3978,11872383.2610884,33266,77.0035,5700448.4969314
BTCUSDT,15m,1773830700000,1773831599999,73882.82,73953.32,73816.26,73946.35,172.0636,12715450.5393947,32495,116.33487,8597526.4064504
BTCUSDT,15m,1773831600000,1773832499999,73946.35,74074.84,73722.09,73955.76,145.06071,10718646.3157873,37588,82.0137,6060884.0036618
BTCUSDT,15m,1773832500000,1773833399999,73955.76,74017.06,73577.32,73602.91,218.3905,16105789.2306271,43049,77.96151,5749375.5206674
BTCUSDT,15m,1773833400000,1773834299999,73602.91,73605.87,72800.0,73113.08,1199.87176,87711012.1341486,181523,543.466,39717894.0724024
BTCUSDT,15m,1773834300000,1773835199999,73113.07,73141.02,72890.6,72952.85,314.36882,22956644.4705506,61835,177.15707,12937356.5283934
BTCUSDT,15m,1773835200000,1773836099999,72952.85,72981.79,72643.08,72751.48,510.84359,37185011.3484378,91039,185.64924,13519648.8635214
BTCUSDT,15m,1773836100000,1773836999999,72751.48,72879.28,72660.0,72818.67,329.57854,23979371.3933288,71258,139.24534,10133904.3096192
BTCUSDT,15m,1773837000000,1773837899999,72818.66,72818.66,72306.0,72429.39,723.31152,52425072.530746,132957,291.99711,21160362.0778562
BTCUSDT,15m,1773837900000,1773838799999,72429.39,72488.0,72271.11,72361.24,256.22006,18544583.3860957,86335,112.40631,8136421.832475
BTCUSDT,15m,1773838800000,1773839699999,72361.13,72450.0,72117.11,72430.93,358.3678,25912637.0846515,90136,173.93532,12578045.2958119
BTCUSDT,15m,1773839700000,1773840599999,72430.94,72546.53,72302.0,72474.59,351.94411,25496535.8134113,57459,165.28678,11971759.3632171
BTCUSDT,15m,1773840600000,1773841499999,72474.6,72556.81,72222.0,72324.52,323.12925,23394470.3384646,113787,173.81764,12585040.5606707
BTCUSDT,15m,1773841500000,1773842399999,72324.53,72374.09,71980.0,72133.49,573.58615,41375295.7759185,100839,208.49059,15038264.3874001
BTCUSDT,15m,1773842400000,1773843299999,72133.48,72222.45,71860.97,71876.56,422.1488,30405713.2552677,133939,184.49029,13286975.5744717
BTCUSDT,15m,1773843300000,1773844199999,71876.57,72025.25,71620.0,71652.21,545.57737,39175046.0260112,112127,225.12202,16162271.760869
BTCUSDT,15m,1773844200000,1773845099999,71652.21,71854.77,71481.44,71493.45,627.71097,44976254.8726634,120757,300.71416,21552639.978853
BTCUSDT,15m,1773845100000,1773845999999,71493.44,71613.26,71100.0,71193.23,790.55108,56425928.3290634,124615,336.62877,24036471.6524253
BTCUSDT,15m,1773846000000,1773846899999,71193.23,71483.8,70857.21,71073.24,1130.4876,80459148.9635213,145150,466.64592,33231475.030051
BTCUSDT,15m,1773846900000,1773847799999,71073.25,71334.0,71018.42,71299.67,641.96794,45718001.7458179,85715,350.81636,24985325.2167555
BTCUSDT,15m,1773847800000,1773848699999,71299.68,71478.8,71213.7,71363.95,424.23894,30284577.7604982,80936,255.98541,18274323.5423886
BTCUSDT,15m,1773848700000,1773849599999,71363.95,71531.54,71218.6,71467.82,363.54217,25956575.8814022,67144,192.54212,13746894.5114837
BTCUSDT,15m,1773849600000,1773850499999,71467.82,71565.78,71180.13,71243.82,332.37292,23723146.4641436,75743,167.62124,11967483.7820832
BTCUSDT,15m,1773850500000,1773851399999,71243.82,71331.56,71100.0,71230.28,215.43875,15344210.6464721,63407,103.25551,7355374.7005331
BTCUSDT,15m,1773851400000,1773852299999,71230.28,71288.81,71037.34,71283.8,186.68331,13290709.6550609,70770,112.14792,7985125.1147728
BTCUSDT,15m,1773852300000,1773853199999,71283.81,71450.7,71257.26,71314.08,232.71911,16600179.2097899,45358,153.14517,10924937.7412872
BTCUSDT,15m,1773853200000,1773854099999,71314.07,71393.73,71199.87,71285.71,272.92765,19453464.902255,50044,151.27058,10783279.8280534
BTCUSDT,15m,1773854100000,1773854999999,71285.72,71513.81,71204.09,71479.91,182.38085,13018771.8901137,50725,102.77625,7335699.4307653
BTCUSDT,15m,1773855000000,1773855899999,71479.91,71716.77,71348.23,71590.62,358.91696,25677910.3955155,63590,212.51675,15206759.7056296
BTCUSDT,15m,1773855900000,1773856799999,71590.63,71750.0,71563.47,71595.21,211.77294,15171863.5692759,51363,143.60098,10288515.6299915
BTCUSDT,15m,1773856800000,1773857699999,71595.21,72000.5,71595.21,71882.21,495.74833,35627952.509004,100396,339.53596,24401963.0718397
BTCUSDT,15m,1773857700000,1773858599999,71882.21,71882.21,71563.99,71684.6,217.03819,15558591.6683974,77185,126.67202,9080405.8795299
BTCUSDT,15m,1773858600000,1773859499999,71684.59,71852.3,71483.82,71620.46,253.00244,18127226.3090088,99808,128.74159,9224924.6205503
BTCUSDT,15m,1773859500000,1773860399999,71620.46,71620.46,70947.78,71096.74,509.32823,36269043.8925873,86115,183.71719,13085203.2525189
BTCUSDT,15m,1773860400000,1773861299999,71096.75,71426.23,71082.92,71342.01,252.65437,18004089.7431492,64646,165.88155,11821175.0798105
BTCUSDT,15m,1773861300000,1773862199999,71342.01,71486.14,71214.09,71282.18,134.83825,9619601.6749613,50140,65.13731,4647381.5972395
BTCUSDT,15m,1773862200000,1773863099999,71282.19,71357.2,71000.03,71065.78,293.62886,20884789.2276196,55742,107.59576,7653568.2095186
BTCUSDT,15m,1773863100000,1773863999999,71065.78,71149.57,70933.85,71072.38,186.79768,13271880.0903119,52157,96.55036,6860209.3313352
BTCUSDT,15m,1773864000000,1773864899999,71072.38,71072.38,70500.0,70752.73,620.41461,43878916.0597573,104148,227.35935,16083883.7960112
BTCUSDT,15m,1773864900000,1773865799999,70752.74,71042.72,70730.62,70989.0,208.74545,14791778.6380406,52609,149.16319,10569617.1943929
BTCUSDT,15m,1773865800000,1773866699999,70988.99,71307.91,70958.84,71168.43,235.39995,16756623.0756465,52069,164.05401,11678355.5739099
BTCUSDT,15m,1773866700000,1773867599999,71168.43,71333.33,71129.96,71214.67,116.06212,8267372.7722012,30750,57.29582,4081159.8908294
BTCUSDT,15m,1773867600000,1773868499999,71214.67,71451.22,71185.25,71280.44,113.66929,8108893.8922527,31152,78.38592,5592042.8570569
BTCUSDT,15m,1773868500000,1773869399999,71280.44,71372.69,71240.72,71245.26,66.51636,4743023.3604374,24895,42.79645,3051649.8505389
BTCUSDT,15m,1773869400000,1773870299999,71245.26,71399.99,71167.15,71325.1,92.05358,6563290.4711833,33983,44.67032,3184543.7760635
BTCUSDT,15m,1773870300000,1773871199999,71325.1,71367.47,71263.67,71263.67,66.0253,4708867.9779254,22747,32.87403,2344393.5804239
BTCUSDT,15m,1773871200000,1773872099999,71263.67,71269.02,70957.32,70998.45,176.21052,12521572.0057632,35334,61.65098,4380801.5597431
BTCUSDT,15m,1773872100000,1773872999999,70998.44,71120.0,70966.74,71085.58,89.62479,6368907.5410905,20317,46.09305,3275369.9181374
BTCUSDT,15m,1773873000000,1773873899999,71085.58,71116.42,70944.56,71061.24,124.65996,8854006.2301175,23764,56.56353,4017532.6223959
BTCUSDT,15m,1773873900000,1773874799999,71061.23,71153.99,71023.54,71153.66,130.4531,9274798.6505827,24995,68.54935,4873791.847065
BTCUSDT,15m,1773874800000,1773875699999,71153.67,71264.99,71069.69,71160.93,206.32681,14686879.0271313,37646,103.15699,7343018.7471152
BTCUSDT,15m,1773875700000,1773876599999,71160.94,71213.01,71079.94,71206.1,133.12327,9470525.0049728,33070,56.57208,4024732.6958725
BTCUSDT,15m,1773876600000,1773877499999,71206.11,71350.0,71206.1,71275.76,204.17219,14559772.028329,35912,123.61981,8815678.6712091
BTCUSDT,15m,1773877500000,1773878399999,71275.77,71365.4,71214.99,71246.54,147.64464,10526087.4532472,38613,77.50915,5526218.2846408
