sharpe,cagr,mdd,trades,positive_folds_vs_A,fold1,fold2,fold3,fold4,trail_mult,peak_anchor,atr_mode,trend_exit,cooldown_bars,trail_confirm_bars,time_stop_bars
1.4706530508176918,0.4568981377686263,-0.23605819074815515,120,3,1.3346801136400277,1.6639753315988097,2.0121371346089556,0.016053340514480152,2.7,close,lagged,d1_close_below_ema21,0,1,96
0.979512692288279,0.26108096791648805,-0.36358936701768674,173,0,0.7850763796358083,1.1324571458866366,1.4042810228212872,0.12838621228131988,2.7,close,lagged,d1_close_below_ema21,0,2,24
1.2762047051918133,0.37103558032556316,-0.2620156235428981,153,2,1.1321502166399415,1.810963856700797,1.3962118521274474,-0.5442757945558796,2.7,close,lagged,d1_close_below_ema21,0,2,30
1.3503536684562576,0.40556123816285927,-0.27983387761914624,142,1,1.1334703324885211,1.555010737208627,1.8736781803091744,0.2245996825848619,2.7,close,lagged,d1_close_below_ema21,0,2,36
1.0716716072172743,0.30314803931271816,-0.29470942017795343,132,0,0.8733179138569226,1.1435348663528664,1.7675569016629427,-0.04504309805095527,2.7,close,lagged,d1_close_below_ema21,0,2,48
1.0730805236212106,0.30301764421367827,-0.27650775862841004,122,0,1.015777860921869,1.232115665635255,1.4106059850912196,-0.10957851237219515,2.7,close,lagged,d1_close_below_ema21,0,2,60
1.215436828819094,0.35886495413342145,-0.2685423841923218,117,1,1.1257693498537265,1.4115960985703746,1.5088329021745661,0.1654729023790143,2.7,close,lagged,d1_close_below_ema21,0,2,72
1.1180473355361846,0.3229533313380488,-0.2774833436141846,113,0,1.0200086394543508,1.2771860348662065,1.440737443750762,0.1654729023790143,2.7,close,lagged,d1_close_below_ema21,0,2,96
1.2423780300319334,0.335598649112963,-0.24641996945570244,161,2,0.9308317632715406,1.6778440694492038,1.4386083162754748,0.34837890168209995,2.7,close,lagged,d1_close_below_ema21,3,1,24
1.5553836383285915,0.45803580429523927,-0.23553455547465818,151,2,1.6517345785570066,1.9977303337755272,1.4607121566203487,-0.22377538144064532,2.7,close,lagged,d1_close_below_ema21,3,1,30
1.449957210972268,0.4214650818944574,-0.23553455547465862,142,4,1.1336229671656342,1.8013512742736342,1.915850905499523,0.3605036366071496,2.7,close,lagged,d1_close_below_ema21,3,1,36
1.2085905497746332,0.33712431343170124,-0.23573747853051297,126,1,0.8537851532183028,1.5864243163624494,1.5909551480151911,0.32942155065664575,2.7,close,lagged,d1_close_below_ema21,3,1,48
1.4899725090098614,0.4496731571858261,-0.23056347060039073,120,3,1.170430100572859,1.9507405431974532,1.9039142621190333,-0.01638541261379412,2.7,close,lagged,d1_close_below_ema21,3,1,60
1.488220889900629,0.45453790812855743,-0.23553455547465874,116,2,1.246935765489201,1.843419147255513,1.848899658739075,0.2784122735869398,2.7,close,lagged,d1_close_below_ema21,3,1,72
1.3591993646862137,0.40327119645346765,-0.23553455547465818,113,2,1.1388599058776634,1.6530448819073051,1.7340183209409323,0.2784122735869398,2.7,close,lagged,d1_close_below_ema21,3,1,96
0.9335577990217221,0.23699951068932745,-0.27858355476182495,156,0,0.9074365048826895,1.4570910840123208,0.48167241571786457,0.1556666191806139,2.7,close,lagged,d1_close_below_ema21,3,2,24
1.3822641452100128,0.40033913475000515,-0.26201562354289853,143,2,1.3877956449036917,1.629530313137586,1.7005498080726995,-0.3414571457104222,2.7,close,lagged,d1_close_below_ema21,3,2,30
1.418087751232964,0.41762112643564686,-0.268542384192323,132,2,1.0859701890021807,1.5683955706426187,2.1402584970005427,0.5557829665861357,2.7,close,lagged,d1_close_below_ema21,3,2,36
0.913979058991302,0.23977799743457529,-0.30530483008242393,124,0,0.6752563493136409,1.1096369989740313,1.2988154709188524,0.22808646169054084,2.7,close,lagged,d1_close_below_ema21,3,2,48
1.0746819058259138,0.3006540527411865,-0.27660028206364606,115,0,0.9467086784797093,1.3523845437775517,1.2195316671623648,0.18495137990393354,2.7,close,lagged,d1_close_below_ema21,3,2,60
1.198999859277918,0.349460194807764,-0.2685423841923217,110,2,1.1219809715232185,1.4507479708937985,1.264868545063044,0.462578805332929,2.7,close,lagged,d1_close_below_ema21,3,2,72
1.120883368915738,0.32046398698132395,-0.2816419086087998,106,1,1.0471365406911284,1.2163930731401833,1.4075026711850236,0.462578805332929,2.7,close,lagged,d1_close_below_ema21,3,2,96
1.2522264427008019,0.3262815759641511,-0.26357308320895323,151,2,1.2255304765447692,1.7531775499548103,0.9524469667987165,0.224624785701364,2.7,close,lagged,d1_close_below_ema21,6,1,24
1.449207930828847,0.4015490026053501,-0.2500117870984123,144,3,1.3618683150901867,1.6898098054308246,1.402798654086745,1.171920105018093,2.7,close,lagged,d1_close_below_ema21,6,1,30
1.321641929060353,0.3649838760697788,-0.23553455547465763,132,2,1.2330780938306074,1.4711543891968966,1.5949416299810368,0.6364325879068907,2.7,close,lagged,d1_close_below_ema21,6,1,36
1.1866920081106147,0.32096922487566215,-0.24390087456974252,121,2,0.684028926862806,1.6541789518430374,1.6435811517148613,0.3748470025298765,2.7,close,lagged,d1_close_below_ema21,6,1,48
1.421246347440136,0.40957795969539745,-0.23553455547465874,116,3,1.340456736819085,1.6881126763164447,1.5842869098340893,0.41563720101836793,2.7,close,lagged,d1_close_below_ema21,6,1,60
1.431871244594778,0.42097029242866246,-0.23553455547465796,112,3,1.1458847814510695,1.7225157959102297,1.8019515674040694,0.7152029065805388,2.7,close,lagged,d1_close_below_ema21,6,1,72
1.245871382050773,0.35109061555774135,-0.23553455547465796,110,1,1.015906564276017,1.4786193987030885,1.5301064385271737,0.7152029065805388,2.7,close,lagged,d1_close_below_ema21,6,1,96
0.7932019515822011,0.18340885844788413,-0.33762184482825874,148,1,0.5845625866464204,1.6783365829750938,0.24727664867882893,-0.6202715182125498,2.7,close,lagged,d1_close_below_ema21,6,2,24
1.3770279080755783,0.3807800834340842,-0.29050126499429596,136,3,1.2501078056687907,1.284898319895535,2.072618163741,0.7681282882680135,2.7,close,lagged,d1_close_below_ema21,6,2,30
0.9227202965658002,0.23252631648250421,-0.2768056130537153,130,0,0.8089211468115485,1.2243933216228244,1.0097922428634594,0.02475742030947518,2.7,close,lagged,d1_close_below_ema21,6,2,36
