entry_idx,exit_idx,entry_time,exit_time,entry_open,exit_open,trade_return,holding_bars,holding_days
9376,9377.0,2024-04-11T20:00:00,2024-04-12T00:00:00,70459.67,70006.22,-0.008421731662666021,1,0.16666666666666666
9378,9382.0,2024-04-12T04:00:00,2024-04-12T20:00:00,70977.27,66843.98,-0.06011658543671805,4,0.6666666666666666
9404,9405.0,2024-04-16T12:00:00,2024-04-16T16:00:00,63094.76,61762.19,-0.023076918238693733,1,0.16666666666666666
9407,9410.0,2024-04-17T00:00:00,2024-04-17T12:00:00,63793.4,62595.04,-0.020746464132026188,3,0.5
9422,9427.0,2024-04-19T12:00:00,2024-04-20T08:00:00,64870.73,63961.22,-0.01599131809954968,5,0.8333333333333334
9431,9434.0,2024-04-21T00:00:00,2024-04-21T12:00:00,64940.58,65234.02,0.0025105595610632747,3,0.5
9573,9574.0,2024-05-14T16:00:00,2024-05-14T20:00:00,61787.6,61596.51,-0.005085509446717484,1,0.16666666666666666
9579,9759.0,2024-05-15T16:00:00,2024-06-14T16:00:00,64725.12,66392.0,0.023702735383109408,180,30.0
9772,9774.0,2024-06-16T20:00:00,2024-06-17T04:00:00,66562.52,66222.0,-0.007104565422102471,2,0.3333333333333333
9951,9953.0,2024-07-16T16:00:00,2024-07-17T00:00:00,64878.24,65044.0,0.0005508325133356529,2,0.3333333333333333
9954,9955.0,2024-07-17T04:00:00,2024-07-17T08:00:00,65701.66,65258.01,-0.00873799477806192,1,0.16666666666666666
9968,10068.0,2024-07-19T12:00:00,2024-08-05T04:00:00,64115.99,53890.87,-0.16115867272937678,100,16.666666666666668
10089,10108.0,2024-08-08T16:00:00,2024-08-11T20:00:00,59428.03,59621.11,0.0012434772128575577,19,3.1666666666666665
10236,10248.0,2024-09-02T04:00:00,2024-09-04T04:00:00,57742.0,56653.99,-0.02080394385386719,12,2.0
10251,10255.0,2024-09-04T16:00:00,2024-09-05T08:00:00,58134.0,57155.1,-0.018804022515223506,4,0.6666666666666666
10297,10298.0,2024-09-12T08:00:00,2024-09-12T12:00:00,58138.15,58058.0,-0.0033748569914936466,1,0.16666666666666666
10300,10302.0,2024-09-12T20:00:00,2024-09-13T04:00:00,58388.0,57845.97,-0.011263685929129297,2,0.3333333333333333
10305,10316.0,2024-09-13T16:00:00,2024-09-15T12:00:00,59666.01,60000.51,0.0035960001432977506,11,1.8333333333333333
10317,10320.0,2024-09-15T16:00:00,2024-09-16T04:00:00,60335.41,58575.09,-0.03111624840056615,3,0.5
10321,10323.0,2024-09-16T08:00:00,2024-09-16T16:00:00,58911.1,57881.7,-0.019437856673869658,2,0.3333333333333333
10329,10335.0,2024-09-17T16:00:00,2024-09-18T16:00:00,61135.49,59429.19,-0.02985334624470981,6,1.0
10337,10348.0,2024-09-19T00:00:00,2024-09-20T20:00:00,61759.98,62809.13,0.014954579796333967,11,1.8333333333333333
10362,10363.0,2024-09-23T04:00:00,2024-09-23T08:00:00,64354.0,63548.83,-0.014485565950368318,1,0.16666666666666666
10365,10366.0,2024-09-23T16:00:00,2024-09-23T20:00:00,63617.99,63300.01,-0.006987280170121624,1,0.16666666666666666
10367,10888.0,2024-09-24T00:00:00,2024-12-19T20:00:00,63339.99,97199.72,0.5315035218622548,521,86.83333333333333
10897,10898.0,2024-12-21T08:00:00,2024-12-21T12:00:00,99040.0,98262.08,-0.009837902846526747,1,0.16666666666666666
10913,10914.0,2024-12-24T00:00:00,2024-12-24T04:00:00,94881.47,94348.75,-0.007602360621626114,1,0.16666666666666666
10915,10932.0,2024-12-24T08:00:00,2024-12-27T04:00:00,94233.2,96417.84,0.02113799316843723,17,2.8333333333333335
10973,10974.0,2025-01-03T00:00:00,2025-01-03T04:00:00,96984.79,97062.3,-0.0012014001133577867,1,0.16666666666666666
10994,11004.0,2025-01-06T12:00:00,2025-01-08T04:00:00,99259.99,96525.2,-0.02949570995120998,10,1.6666666666666667
11051,11052.0,2025-01-16T00:00:00,2025-01-16T04:00:00,100497.35,99478.04,-0.012121380334506493,1,0.16666666666666666
11056,11159.0,2025-01-16T20:00:00,2025-02-03T00:00:00,100417.2,97700.59,-0.02899815449355292,103,17.166666666666668
11164,11165.0,2025-02-03T20:00:00,2025-02-04T00:00:00,101879.99,101328.51,-0.007401214816471935,1,0.16666666666666666
11169,11212.0,2025-02-04T16:00:00,2025-02-11T20:00:00,99347.18,95040.81,-0.045259025763891736,43,7.166666666666667
11463,11465.0,2025-03-25T16:00:00,2025-03-26T00:00:00,87774.37,87392.88,-0.006336569172982975,2,0.3333333333333333
11470,11482.0,2025-03-26T20:00:00,2025-03-28T20:00:00,86567.18,83790.74,-0.03400754985041654,12,2.0
11483,11484.0,2025-03-29T00:00:00,2025-03-29T04:00:00,84424.38,84166.3,-0.005049826053800999,1,0.16666666666666666
11503,11504.0,2025-04-01T08:00:00,2025-04-01T12:00:00,83445.5,83930.31,0.003799285884918735,1,0.16666666666666666
11505,11506.0,2025-04-01T16:00:00,2025-04-01T20:00:00,85280.88,84972.0,-0.005613673639390249,1,0.16666666666666666
11543,11545.0,2025-04-08T00:00:00,2025-04-08T08:00:00,79163.24,79496.01,0.0021961894941386895,2,0.3333333333333333
11571,11596.0,2025-04-12T16:00:00,2025-04-16T20:00:00,85008.4,84334.0,-0.009916474913067352,25,4.166666666666667
11602,11618.0,2025-04-17T20:00:00,2025-04-20T12:00:00,84849.05,84129.82,-0.010458638136549459,16,2.6666666666666665
11622,11624.0,2025-04-21T04:00:00,2025-04-21T12:00:00,87205.56,86971.92,-0.004672831274519562,2,0.3333333333333333
11627,11897.0,2025-04-22T00:00:00,2025-06-06T00:00:00,87516.22,101508.69,0.1575656961496965,270,45.0
11898,11899.0,2025-06-06T04:00:00,2025-06-06T08:00:00,102493.3,103150.44,0.004399724376520142,1,0.16666666666666666
11900,11957.0,2025-06-06T12:00:00,2025-06-16T00:00:00,103927.99,105594.02,0.013999573685779865,57,9.5
11958,11967.0,2025-06-16T04:00:00,2025-06-17T16:00:00,105921.85,104241.62,-0.01783021159826803,9,1.5
12016,12017.0,2025-06-25T20:00:00,2025-06-26T00:00:00,107761.67,107340.59,-0.005898700710651683,1,0.16666666666666666
12021,12051.0,2025-06-26T16:00:00,2025-07-01T16:00:00,107313.61,105955.19,-0.014632108870533789,30,5.0
12053,12088.0,2025-07-02T00:00:00,2025-07-07T20:00:00,105681.13,108056.67,0.020434440062005343,35,5.833333333333333
12100,12276.0,2025-07-09T20:00:00,2025-08-08T04:00:00,111749.99,116737.34,0.042541319756180584,176,29.333333333333332
12288,12289.0,2025-08-10T04:00:00,2025-08-10T08:00:00,118500.0,117808.29,-0.007824546596708948,1,0.16666666666666666
12290,12292.0,2025-08-10T12:00:00,2025-08-10T20:00:00,118330.58,118663.09,0.0008053918360746426,2,0.3333333333333333
12293,12295.0,2025-08-11T00:00:00,2025-08-11T08:00:00,119294.27,121537.14,0.016764570981825155,2,0.3333333333333333
12297,12298.0,2025-08-11T16:00:00,2025-08-11T20:00:00,120314.4,119089.3,-0.012161133752069508,1,0.16666666666666666
12300,12315.0,2025-08-12T04:00:00,2025-08-14T16:00:00,118857.7,118257.26,-0.007040656707474557,15,2.5
12332,12333.0,2025-08-17T12:00:00,2025-08-17T16:00:00,118308.0,118246.15,-0.002520742923978192,1,0.16666666666666666
12335,12336.0,2025-08-18T00:00:00,2025-08-18T04:00:00,117405.01,115319.0,-0.019731122896714415,1,0.16666666666666666
12363,12364.0,2025-08-22T16:00:00,2025-08-22T20:00:00,116370.75,116655.79,0.00044551638440082364,1,0.16666666666666666
12504,12507.0,2025-09-15T04:00:00,2025-09-15T16:00:00,115445.46,114842.9,-0.00720800070526828,3,0.5
12510,12512.0,2025-09-16T04:00:00,2025-09-16T12:00:00,115307.26,115287.84,-0.002167082906661677,2,0.3333333333333333
12513,12531.0,2025-09-16T16:00:00,2025-09-19T16:00:00,115905.88,115884.03,-0.002187138184620241,18,3.0
12535,12565.0,2025-09-20T08:00:00,2025-09-25T08:00:00,115968.56,111766.73,-0.03815906391585788,30,5.0
12573,12659.0,2025-09-26T16:00:00,2025-10-11T00:00:00,109027.79,112774.49,0.03229693818878654,86,14.333333333333334
12676,12677.0,2025-10-13T20:00:00,2025-10-14T00:00:00,115792.84,115166.0,-0.007401639289614015,1,0.16666666666666666
12723,12725.0,2025-10-21T16:00:00,2025-10-22T00:00:00,113422.6,108297.66,-0.047093145654746094,2,0.3333333333333333
12736,12761.0,2025-10-23T20:00:00,2025-10-28T00:00:00,110200.01,114107.65,0.03338964132262778,25,4.166666666666667
12763,12766.0,2025-10-28T08:00:00,2025-10-28T20:00:00,114188.38,113689.0,-0.006363557404002074,3,0.5
13074,13096.0,2025-12-19T04:00:00,2025-12-22T20:00:00,86891.39,88052.42,0.011336142883892286,22,3.6666666666666665
13097,13105.0,2025-12-23T00:00:00,2025-12-24T08:00:00,88620.79,86911.53,-0.021247792402550147,8,1.3333333333333333
13106,13108.0,2025-12-24T12:00:00,2025-12-24T20:00:00,87203.94,87566.07,0.0021453781339468847,2,0.3333333333333333
13134,13143.0,2025-12-29T04:00:00,2025-12-30T16:00:00,90123.55,89016.36,-0.014259687990985759,9,1.5
13162,13165.0,2026-01-02T20:00:00,2026-01-03T08:00:00,89897.23,89577.13,-0.005552614723167704,3,0.5
13166,13174.0,2026-01-03T12:00:00,2026-01-04T20:00:00,89752.75,91138.06,0.013404881945789926,8,1.3333333333333333
13175,13186.0,2026-01-05T00:00:00,2026-01-06T20:00:00,91529.74,92104.49,0.004267827314816008,11,1.8333333333333333
13187,13190.0,2026-01-07T00:00:00,2026-01-07T12:00:00,93747.97,92087.21,-0.01967874432683714,3,0.5
13194,13196.0,2026-01-08T04:00:00,2026-01-08T12:00:00,90813.4,90226.77,-0.00844581651199039,2,0.3333333333333333
13197,13199.0,2026-01-08T16:00:00,2026-01-09T00:00:00,90781.57,91100.0,0.0015016384933637106,2,0.3333333333333333
13203,13300.0,2026-01-09T16:00:00,2026-01-25T20:00:00,91176.48,86495.17,-0.05323975925403135,97,16.166666666666668
13304,13305.0,2026-01-26T12:00:00,2026-01-26T16:00:00,87855.01,87641.41,-0.004425418409149229,1,0.16666666666666666
13306,13311.0,2026-01-26T20:00:00,2026-01-27T16:00:00,88013.19,88047.46,-0.001610404901128848,5,0.8333333333333334
13312,13322.0,2026-01-27T20:00:00,2026-01-29T12:00:00,88408.78,87846.5,-0.008346288157126458,10,1.6666666666666667
13530,13539.0,2026-03-05T04:00:00,2026-03-06T16:00:00,72497.89,68504.71,-0.05696884302825911,9,1.5
13544,13545.0,2026-03-07T12:00:00,2026-03-07T16:00:00,68010.0,67877.45,-0.003944082084252343,1,0.16666666666666666
13561,,2026-03-10T08:00:00,,70406.01,,,44,
