path,e0_sharpe,e0_cagr,e5_sharpe,e5_cagr,x14d_sharpe,x14d_cagr,x18_sharpe,x18_cagr
361,1.2236,49.94,0.7403,20.20,0.6683,19.39,0.7326,20.40
362,-0.1094,-11.87,-0.3312,-14.31,0.0725,-4.09,-0.3372,-15.20
363,1.0015,35.97,0.8119,21.88,0.9652,30.83,0.7384,19.84
364,1.2219,53.03,1.1608,39.83,1.0176,36.35,1.1348,39.92
365,1.0369,39.37,0.7766,21.94,0.6040,16.64,0.8398,25.02
366,1.2160,47.59,1.0446,32.02,0.6900,20.13,0.8896,26.69
367,1.4305,69.03,0.9857,34.53,1.1288,46.92,0.9064,31.42
368,0.4988,11.89,0.4548,9.33,0.1895,0.68,0.3210,5.28
369,1.1891,48.87,1.1015,35.67,0.8819,27.76,1.1245,37.32
370,-0.0203,-6.17,0.1016,-1.13,0.1621,-0.06,0.0019,-4.05
371,1.2540,53.09,0.9430,28.85,0.9668,32.98,1.0021,33.29
372,0.4276,9.10,0.4168,7.72,0.1409,-0.34,0.5866,12.97
373,0.7509,22.56,0.8334,21.91,0.9735,30.99,0.8469,23.57
374,1.6367,82.96,0.9918,32.21,0.9916,36.08,0.9074,29.45
375,1.0210,39.14,0.6771,17.87,-0.0557,-8.03,0.5123,12.13
376,1.3440,58.41,0.4184,8.38,0.6244,16.98,0.5214,12.04
377,2.0237,108.64,1.7158,66.64,1.4392,60.73,1.5434,59.37
378,0.6206,18.26,0.8230,23.97,0.4776,11.44,0.6871,19.45
379,1.3260,55.46,0.4464,9.29,0.8273,25.65,0.7331,19.77
380,1.4715,73.50,1.3802,54.12,1.4215,65.38,1.3846,56.65
381,0.7801,27.14,0.7840,22.80,0.8114,26.80,0.6822,19.30
382,0.6012,17.01,0.4062,7.86,0.5627,14.24,0.4525,9.68
383,0.5913,17.35,0.3660,6.85,0.1967,0.09,0.3596,6.67
384,0.5481,15.36,0.1381,-0.83,0.4024,8.41,0.4650,10.59
385,0.7342,23.35,1.0559,33.66,0.9059,30.28,0.9048,28.24
386,1.3946,58.10,1.4484,53.73,1.1981,45.24,1.4494,55.74
387,0.9040,34.01,0.9299,29.83,0.5811,16.05,0.9777,32.98
388,1.6718,80.97,1.4077,50.40,1.4107,57.85,1.1513,39.75
389,1.1362,45.24,0.8648,25.75,0.7181,22.09,0.7252,20.90
390,1.0807,42.39,1.0144,31.33,0.7334,21.85,1.0500,33.24
391,0.6677,18.86,0.2919,4.30,0.1441,-0.63,-0.0138,-4.39
392,0.6975,22.25,0.9031,27.73,0.4410,9.93,0.7822,23.31
393,1.2917,48.66,0.9553,25.75,0.8374,24.71,0.9449,26.31
394,0.6909,20.54,0.3570,6.33,0.6223,16.67,0.1971,1.40
395,1.1386,46.75,0.9741,31.38,1.0714,41.09,1.0465,36.40
396,0.8747,28.14,0.7182,18.34,0.3388,5.89,0.6768,17.34
397,0.8322,28.87,0.9925,32.49,0.7589,24.40,1.0036,34.08
398,1.3568,59.88,0.9764,31.74,0.9849,35.87,0.9274,30.04
399,0.8343,27.10,1.2486,39.28,0.9682,31.23,1.1103,34.66
400,1.3526,63.02,1.0075,32.29,1.0571,39.21,1.0508,35.62
401,1.0898,43.13,0.8394,24.63,0.7798,24.83,0.9058,28.04
402,0.8925,35.15,0.7237,21.48,0.5161,13.75,0.5715,15.56
403,1.1437,45.55,0.7195,19.58,0.8355,26.66,0.8422,24.91
404,0.7739,24.19,0.5400,12.38,0.1637,-0.24,0.5184,11.85
405,0.4310,9.74,0.0952,-3.02,0.3895,7.87,0.1506,-1.18
406,0.4482,10.37,0.4475,9.37,0.3288,5.49,0.4106,8.25
407,0.8470,29.01,1.0473,32.12,0.7115,20.57,1.0424,32.68
408,1.0473,39.88,0.8995,27.11,0.4469,10.24,0.8694,26.82
409,1.0256,40.44,0.8230,25.06,1.0970,41.80,1.0579,37.16
410,1.5251,79.51,1.0020,34.69,0.9417,35.18,0.8527,28.33
411,1.1526,51.54,1.1780,45.44,1.1936,51.99,1.2679,52.03
412,0.9920,38.82,1.1646,39.53,1.3579,57.01,1.1187,38.91
413,1.1649,53.37,1.2197,48.07,1.2852,60.78,1.2099,50.03
414,0.1020,-3.11,-0.1688,-8.90,-0.3501,-16.55,-0.2968,-13.11
415,1.0901,45.17,0.6357,17.18,0.4506,10.34,0.5692,14.81
416,1.9532,103.84,1.4803,48.75,1.2967,45.82,1.4064,47.26
417,0.6184,18.12,0.7602,22.38,0.7232,22.52,0.6232,17.26
418,0.4847,12.10,0.4837,11.31,0.3560,6.44,0.5783,15.26
419,1.0420,38.55,1.1072,35.20,0.9820,32.33,1.0777,34.58
420,0.9020,33.47,0.7724,22.99,0.7193,23.15,0.9095,29.96
421,0.3533,6.40,0.0340,-3.84,0.1060,-2.59,0.1152,-1.48
422,1.1065,41.03,0.9035,25.78,0.5445,13.45,0.6050,15.14
423,1.1433,47.63,1.0442,33.88,0.9203,31.85,0.8514,26.82
424,0.9802,38.29,0.7688,22.67,0.6725,20.80,0.7354,22.00
425,1.2509,48.26,0.9376,26.98,0.7758,22.77,0.8381,24.14
426,1.0497,38.03,0.7970,20.80,0.8189,23.97,0.7029,18.06
427,0.4509,10.70,0.4790,11.37,0.1521,-2.29,0.3055,4.52
428,1.4808,64.42,1.3688,45.56,1.2197,44.62,1.2335,41.96
429,1.1404,45.09,1.0897,36.14,1.1965,45.83,1.2012,43.21
430,1.1182,47.99,0.9736,32.13,1.0599,40.97,1.0538,37.48
431,0.2589,3.07,0.5440,12.23,0.5608,14.02,0.5509,12.80
432,1.0898,48.33,0.9799,33.64,0.9809,36.81,1.0116,36.16
433,1.1383,40.79,0.8244,20.85,0.6347,16.35,0.6717,16.56
434,0.5414,14.89,0.6984,19.99,0.8039,27.21,0.7957,24.66
435,2.2340,142.24,1.9050,90.16,2.0043,108.31,1.8870,91.22
436,1.3480,56.72,1.1338,36.81,1.1103,41.12,1.1660,40.92
437,0.1222,-3.80,0.2196,1.58,0.1563,-1.32,0.1855,0.21
438,0.8972,34.45,0.9773,32.55,1.2559,53.40,1.1659,43.35
439,2.1014,128.74,1.6574,73.39,1.6838,86.32,1.7637,86.18
440,1.5558,72.67,1.7889,68.72,1.4164,56.89,1.5907,63.35
441,1.2273,49.77,0.9593,28.69,0.7025,20.79,0.8260,24.38
442,1.1681,54.47,0.4842,11.83,0.5976,17.61,0.5441,14.64
443,0.8235,25.60,0.8089,21.16,0.7504,21.24,0.7613,19.78
444,0.6599,19.00,0.5175,11.39,0.5562,13.76,0.7111,18.54
445,1.5512,75.74,1.0824,37.30,1.3550,56.45,1.1418,41.06
446,0.8910,30.95,0.9549,28.98,0.9337,31.18,0.9576,30.61
447,1.1814,44.13,1.3166,41.15,1.2304,44.30,1.4008,45.83
448,0.1939,-0.32,-0.0120,-4.93,-0.0536,-8.47,-0.0162,-5.66
449,0.6827,21.18,0.4482,9.85,0.6303,17.81,0.3736,7.18
450,0.6429,20.86,0.6114,17.50,0.9593,37.93,0.9042,32.59
451,0.9955,36.65,0.7089,19.33,0.8658,28.93,0.5272,12.73
452,1.1751,46.82,0.8364,25.01,0.7509,23.63,0.6906,19.76
453,0.6765,19.47,0.4906,10.67,0.5201,12.25,0.5436,12.63
454,1.3250,68.30,1.3473,58.21,1.3069,60.96,1.4003,63.54
455,0.5193,13.37,0.6673,17.97,0.5790,15.29,0.6830,19.10
456,0.8257,30.31,0.8524,27.05,0.8011,26.55,0.9293,31.18
457,0.0624,-4.70,0.2155,2.01,0.0566,-3.88,0.2194,1.97
458,0.8869,31.28,0.5767,14.67,0.5734,15.67,0.5822,15.31
459,0.5974,17.05,0.5240,12.36,0.5939,16.06,0.6753,18.56
460,1.0952,37.66,1.0125,26.65,0.6336,15.64,1.0611,29.31
461,0.9331,34.16,0.7544,21.43,0.6546,18.99,0.7230,20.57
462,0.9501,32.14,0.5585,13.34,0.5223,13.06,0.4754,10.67
463,0.6151,17.88,0.7516,20.51,0.7606,23.33,0.6725,18.30
464,0.9556,36.29,1.0734,35.32,0.8397,28.73,1.1025,40.26
465,0.8646,30.36,0.9744,29.78,0.4683,11.04,0.9077,28.12
466,0.5534,15.00,0.6459,16.57,0.4729,11.11,0.5458,13.40
467,1.2498,56.65,1.3260,51.16,1.0598,40.23,1.3351,53.66
468,1.2750,54.11,1.5434,59.28,1.5851,72.90,1.5944,64.91
469,0.9101,32.36,0.5708,14.39,0.7273,22.43,0.6027,16.10
470,0.2874,4.03,0.1889,1.40,0.1133,-1.48,0.2286,2.49
471,0.4324,9.64,-0.0020,-4.61,-0.1286,-10.08,0.0330,-3.87
472,1.2316,53.02,0.9810,30.72,1.0762,40.38,0.9823,32.22
473,1.1994,54.68,0.8260,27.09,0.5229,14.01,0.7682,24.96
474,1.3184,64.83,1.1274,42.46,1.3337,59.93,1.2944,53.34
475,1.0985,45.88,1.0591,36.79,1.0310,37.07,1.1180,40.07
476,1.4460,61.93,1.3663,45.10,0.9399,30.82,1.2022,38.20
477,0.8523,29.26,0.7593,21.44,0.9484,32.16,0.7946,23.42
478,1.0073,40.41,0.9472,30.52,1.1018,41.74,0.9209,30.42
479,0.7702,23.88,0.9348,25.82,0.3904,7.76,0.7778,20.93
480,1.0413,40.38,0.9205,27.57,0.6638,19.24,0.7543,21.92
481,0.6663,19.99,0.2674,3.50,0.5521,14.31,0.4629,10.30
482,1.1044,51.07,0.9311,32.38,0.9296,35.73,0.6679,20.43
483,1.6589,82.37,1.4644,56.82,1.3120,54.68,1.5353,64.58
484,0.4021,8.41,0.5933,15.91,0.6655,20.63,0.6001,16.68
485,1.0197,38.36,0.7745,21.72,0.8376,26.77,0.8941,27.70
486,1.2111,53.26,1.0769,36.54,1.1231,44.07,1.1644,42.72
487,0.6507,20.74,1.0688,37.46,0.8643,30.21,0.9359,31.64
488,0.2272,1.45,0.1590,0.17,0.0548,-4.32,0.1774,0.67
489,1.0196,39.99,0.7059,19.94,0.8804,29.82,0.7887,24.05
490,0.2142,0.68,0.0377,-3.69,0.1415,-1.23,-0.0299,-6.14
491,0.3760,7.33,0.3070,4.83,0.1891,0.18,0.4950,11.51
492,0.8574,33.54,0.7175,22.77,0.7777,27.12,0.7604,25.34
493,0.6883,20.67,0.6515,16.28,0.4925,11.78,0.3857,7.41
494,1.3922,62.77,1.3548,48.42,1.2931,51.62,1.3408,49.21
495,1.0553,38.17,0.8174,23.12,0.6440,17.76,0.7010,18.98
496,1.0829,42.80,0.9489,29.90,0.8305,27.55,0.8457,26.37
497,0.6174,17.40,0.6444,15.84,0.5710,14.56,0.4882,10.80
498,1.3226,62.26,1.2429,47.19,0.7417,24.52,1.0282,37.29
499,1.2723,56.15,1.5298,64.73,1.4524,66.77,1.4821,63.25
