path,d_sharpe,d_cagr,d_mdd
370,-0.015718,-0.458326,2.003114
371,0.050858,2.333976,-5.441577
372,0.033641,0.929554,0.000000
373,0.096360,3.863893,-2.740888
374,0.000078,0.220710,2.903346
375,-0.264664,-10.058459,4.931025
376,-0.082144,-2.696480,4.103416
377,-0.089082,-4.296641,4.674901
378,-0.015941,-0.620431,-0.034445
379,0.050409,1.837286,0.054044
380,0.036951,2.426581,-0.662702
381,0.166288,6.178686,-14.176179
382,0.004854,0.143543,-1.141347
383,-0.077529,-2.614883,-0.081691
384,0.053373,1.855124,-0.406636
385,-0.040190,-1.290367,2.056065
386,0.021537,1.543779,-8.832663
387,0.019257,0.944828,2.587090
388,0.185855,10.814499,0.244591
389,-0.129963,-4.856692,10.151035
390,0.066478,2.852401,1.688718
391,-0.065005,-1.849816,6.250713
392,-0.005424,0.001485,4.730760
393,0.060066,2.095487,1.005892
394,-0.012462,-0.417537,0.700374
395,0.088498,4.344686,3.691820
396,0.068473,2.274105,3.905904
397,-0.121240,-5.041944,8.994032
398,0.130012,5.479283,-10.633769
399,-0.120220,-4.496417,4.639753
400,0.099023,4.507048,-0.925789
401,0.021814,1.127110,-16.481945
402,-0.132066,-5.519106,6.631142
403,0.018375,0.754317,-3.724673
404,-0.015082,-0.518599,2.709060
405,0.120678,4.330289,-16.628067
406,0.088535,2.988495,0.165555
407,0.099203,3.970407,-1.272378
408,0.024532,1.123380,-1.532849
409,-0.010198,-0.241486,5.066553
410,-0.131510,-6.073480,-3.043805
411,-0.016523,-0.497707,1.896606
412,0.069863,3.448298,-3.584396
413,0.072360,5.335024,3.128256
414,-0.004356,-0.490946,0.684974
415,0.057929,2.230922,-0.707385
416,0.007290,0.341682,-4.730755
417,-0.127576,-4.904850,-1.603036
418,0.039945,1.488784,-4.656613
419,0.122201,5.341107,3.608753
420,0.077424,3.133884,-0.000000
421,0.160770,4.430473,-5.169638
422,0.075579,2.684074,-0.318591
423,-0.046294,-1.658825,-2.612858
424,-0.014805,-0.390988,5.128016
425,-0.066068,-2.277399,13.352410
426,0.097415,3.498649,-3.843202
427,0.130577,4.300233,-11.804479
428,-0.023956,0.000829,-2.695933
429,0.218673,10.145304,1.614356
430,-0.012350,-0.409721,-0.159912
431,0.122046,4.133387,-4.023402
432,-0.054499,-1.997114,5.992042
433,0.038223,1.369123,0.547781
434,0.060641,2.387423,3.807396
435,-0.024491,-0.001342,-1.417696
436,-0.021119,0.142190,-3.416983
437,-0.041356,-1.664640,1.928260
438,0.154653,7.481219,-5.859153
439,-0.001884,1.432268,7.842561
440,-0.205795,-10.254303,1.662024
441,-0.038279,-1.313305,4.420742
442,0.007092,0.394633,6.065352
443,-0.083798,-2.659798,-1.384291
444,0.048419,1.645848,0.471024
445,0.254680,12.310947,-13.130690
446,0.069878,3.863435,0.771477
447,0.213960,9.704783,-3.274682
448,0.087047,2.131126,-1.527145
449,-0.076707,-2.722135,2.320228
450,0.313582,13.606402,-12.768842
451,0.133887,5.627254,-4.609999
452,-0.051329,-1.742724,0.283013
453,0.057389,1.844712,-3.880415
454,0.004509,0.579688,4.501996
455,-0.005926,-0.227540,-2.623691
456,0.036245,1.582646,-0.095939
457,0.092643,2.325067,-0.257695
458,-0.014211,-0.525405,4.462829
459,-0.029087,-1.023271,5.446194
460,-0.061192,-1.863553,0.504230
461,0.075856,3.073267,0.262305
462,0.020946,0.734054,0.908235
463,-0.026942,-0.929773,1.951313
464,-0.032873,-1.310706,4.871259
465,-0.092737,-3.266958,1.334740
466,0.094987,3.215188,-1.707412
467,0.139260,7.226513,0.186929
468,0.005337,0.489268,-3.075691
469,-0.089509,-3.363389,0.227116
470,0.060993,1.588649,1.330991
471,0.063842,1.398834,-2.127273
472,-0.063682,-2.504643,-7.349056
473,-0.145289,-6.139801,5.715151
474,0.094996,6.778979,-5.829965
475,-0.096474,-4.654856,-0.440391
476,0.115017,5.286372,-4.508830
477,-0.021120,-0.646634,2.391579
478,0.024047,1.415230,-3.489811
479,-0.058405,-1.955562,-0.000000
480,-0.055235,-1.998454,2.904534
481,0.030760,0.899467,-0.339400
482,-0.092750,-4.165741,9.311552
483,-0.003492,0.719799,-3.241416
484,0.077052,3.153489,-4.422716
485,-0.055414,-2.024641,0.000000
486,-0.114359,-4.748207,9.850504
487,-0.002234,-0.296126,-1.345663
488,0.036609,1.083636,-4.093463
489,0.113496,4.709639,1.852544
490,-0.032361,-1.111469,1.893181
491,0.095057,3.247627,-1.231989
492,0.028796,1.436642,-4.334649
493,-0.045281,-1.460147,3.481998
494,0.086094,4.579546,0.349214
495,-0.034347,-0.863506,5.516155
496,0.022765,1.060054,1.598503
497,-0.142674,-4.673532,4.115185
498,-0.172388,-7.829466,2.201253
499,-0.006977,1.147375,1.345027
