policy,family,template,support_signal,weak_q,neg_q,fold,oos_sharpe,oos_cagr,oos_mdd,oos_trades,delta_sharpe_vs_vdo,delta_sharpe_vs_core,weak_thr,neg_thr
weakvdo_q0.3333333333333333_at_least_two_of_three,bounded_veto,weak_vdo_require_support,at_least_two_of_three,0.3333333333333333,,2,1.3053380036530635,0.4268841998971764,-0.23822127991561393,39,-0.23216759386325103,-0.23984948254266558,0.0034459601248280677,
weakvdo_q0.3333333333333333_at_least_two_of_three,bounded_veto,weak_vdo_require_support,at_least_two_of_three,0.3333333333333333,,3,1.5526056788108742,0.5135539671234639,-0.17375207467623555,28,-0.2659676544468348,0.35833099046326033,0.003301011147487187,
weakvdo_q0.3333333333333333_at_least_two_of_three,bounded_veto,weak_vdo_require_support,at_least_two_of_three,0.3333333333333333,,4,0.2953625560367888,0.03516193545142321,-0.13024601316346707,11,0.3175198613411234,0.7640978546499523,0.0036227697907858666,
weakvdo_q0.3333333333333333_any_of_three,bounded_veto,weak_vdo_require_support,any_of_three,0.3333333333333333,,1,0.5839850957831761,0.1478631377995434,-0.37199642511304454,31,-0.02269436381395684,0.6187056032306613,0.004185087373277126,
weakvdo_q0.3333333333333333_any_of_three,bounded_veto,weak_vdo_require_support,any_of_three,0.3333333333333333,,2,1.4748382842643057,0.5502433081891336,-0.30918733110768204,47,-0.0626673132520088,-0.07034920193142336,0.0034459601248280677,
weakvdo_q0.3333333333333333_any_of_three,bounded_veto,weak_vdo_require_support,any_of_three,0.3333333333333333,,3,1.7667782788683761,0.627296279602666,-0.13236946834247332,28,-0.05179505438933285,0.5725035905207623,0.003301011147487187,
weakvdo_q0.3333333333333333_any_of_three,bounded_veto,weak_vdo_require_support,any_of_three,0.3333333333333333,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,0.0036227697907858666,
weakvdo_q0.5_ema12_vol_surprise_quote_28,bounded_veto,weak_vdo_require_support,ema12_vol_surprise_quote_28,0.5,,1,0.8243607854812252,0.23763000354197494,-0.3161524338084043,29,0.21768132588409217,0.8590812929287103,0.00648105072393846,
weakvdo_q0.5_ema12_vol_surprise_quote_28,bounded_veto,weak_vdo_require_support,ema12_vol_surprise_quote_28,0.5,,2,1.544467383667011,0.5777665388979123,-0.3177778168383846,44,0.006961786150696536,-0.0007201025287180141,0.005799748872026572,
weakvdo_q0.5_ema12_vol_surprise_quote_28,bounded_veto,weak_vdo_require_support,ema12_vol_surprise_quote_28,0.5,,3,1.8753474413200957,0.6725487817062583,-0.13669452357361356,27,0.0567741080623867,0.6810727529724818,0.005663060405662071,
weakvdo_q0.5_ema12_vol_surprise_quote_28,bounded_veto,weak_vdo_require_support,ema12_vol_surprise_quote_28,0.5,,4,0.3222358854220594,0.039629685918125324,-0.12775209903264362,11,0.344393190726394,0.7909711840352229,0.006063720771229266,
weakvdo_q0.5_vol_surprise_quote_28,bounded_veto,weak_vdo_require_support,vol_surprise_quote_28,0.5,,1,0.6203410416730109,0.16015507823887232,-0.35042193648457953,29,0.013661582075877865,0.655061549120496,0.00648105072393846,
weakvdo_q0.5_vol_surprise_quote_28,bounded_veto,weak_vdo_require_support,vol_surprise_quote_28,0.5,,2,1.6199556132335382,0.6156394585498934,-0.2731487152275518,44,0.08245001571722366,0.0747681270378091,0.005799748872026572,
weakvdo_q0.5_vol_surprise_quote_28,bounded_veto,weak_vdo_require_support,vol_surprise_quote_28,0.5,,3,1.9503380422273366,0.7105842540152201,-0.12731481872305572,27,0.13176470896962766,0.7560633538797228,0.005663060405662071,
weakvdo_q0.5_vol_surprise_quote_28,bounded_veto,weak_vdo_require_support,vol_surprise_quote_28,0.5,,4,0.3222358854220594,0.039629685918125324,-0.12775209903264362,11,0.344393190726394,0.7909711840352229,0.006063720771229266,
weakvdo_q0.5_ema28_imbalance_ratio_base,bounded_veto,weak_vdo_require_support,ema28_imbalance_ratio_base,0.5,,1,1.006603142347932,0.3003274802768292,-0.24256010921193594,26,0.39992368275079904,1.041323649795417,0.00648105072393846,
weakvdo_q0.5_ema28_imbalance_ratio_base,bounded_veto,weak_vdo_require_support,ema28_imbalance_ratio_base,0.5,,2,1.5471495485144406,0.5560090402697055,-0.29474259987642293,44,0.009643950998126094,0.001962062318711544,0.005799748872026572,
weakvdo_q0.5_ema28_imbalance_ratio_base,bounded_veto,weak_vdo_require_support,ema28_imbalance_ratio_base,0.5,,3,1.7667782788683761,0.627296279602666,-0.13236946834247332,28,-0.05179505438933285,0.5725035905207623,0.005663060405662071,
weakvdo_q0.5_ema28_imbalance_ratio_base,bounded_veto,weak_vdo_require_support,ema28_imbalance_ratio_base,0.5,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,0.006063720771229266,
weakvdo_q0.5_ema28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema28_net_quote_norm_28,0.5,,1,0.8219192473864833,0.22639408622702972,-0.2544295046257993,26,0.21523978778935027,0.8566397548339684,0.00648105072393846,
weakvdo_q0.5_ema28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema28_net_quote_norm_28,0.5,,2,1.6383036070175452,0.5998530061830107,-0.2593194232732877,43,0.10079800950123063,0.09311612082181608,0.005799748872026572,
weakvdo_q0.5_ema28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema28_net_quote_norm_28,0.5,,3,1.7564096152274062,0.6202282507384296,-0.13236946834247332,28,-0.06216371803030274,0.5621349268797924,0.005663060405662071,
weakvdo_q0.5_ema28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema28_net_quote_norm_28,0.5,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,0.006063720771229266,
weakvdo_q0.5_osc_12_28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,osc_12_28_net_quote_norm_28,0.5,,1,0.6008110074817438,0.15238451215154636,-0.3392405487062786,29,-0.005868452115389222,0.6355315149292289,0.00648105072393846,
weakvdo_q0.5_osc_12_28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,osc_12_28_net_quote_norm_28,0.5,,2,1.5550375358825625,0.5790204131198589,-0.27585169829546674,43,0.017531938366248,0.00985004968683345,0.005799748872026572,
weakvdo_q0.5_osc_12_28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,osc_12_28_net_quote_norm_28,0.5,,3,1.487013970217193,0.47353081045536394,-0.18022270585722933,27,-0.33155936304051603,0.2927392818695791,0.005663060405662071,
weakvdo_q0.5_osc_12_28_net_quote_norm_28,bounded_veto,weak_vdo_require_support,osc_12_28_net_quote_norm_28,0.5,,4,0.32708511778092436,0.04047478472375121,-0.12728076621197526,11,0.349242423085259,0.7958204163940878,0.006063720771229266,
weakvdo_q0.5_ema12_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema12_net_quote_norm_28,0.5,,1,0.6604743101477375,0.1731442842711386,-0.3499091327061392,28,0.05379485055060451,0.6951948175952226,0.00648105072393846,
weakvdo_q0.5_ema12_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema12_net_quote_norm_28,0.5,,2,1.5404469943870966,0.5599768618962229,-0.24151956387821716,42,0.002941396870782098,-0.004740491808632452,0.005799748872026572,
weakvdo_q0.5_ema12_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema12_net_quote_norm_28,0.5,,3,1.3131848554861076,0.4009781174970526,-0.22753506606386165,28,-0.5053884777716013,0.11891016713849378,0.005663060405662071,
