episode_id,entry_time,exit_time,hold_bars,hold_days,exit_reason,realized_return_pct,mfe_pct,mae_pct,giveback_ratio,win_flag,unit_size_positive_contribution_rank_desc
71,2021-11-15T04:00:00Z,2021-11-16T04:00:00Z,6,1.0,vtrend_ema21_d1_trail_stop,-7.497723,0.9477746728731362,8.339105235097179,8.9108708162363,0,169
72,2021-12-26T00:00:00Z,2021-12-28T16:00:00Z,16,2.666667,vtrend_ema21_d1_trail_stop,-3.095213,3.2466106224250586,6.218170771676715,1.9533674838062436,0,125
73,2022-02-05T20:00:00Z,2022-02-12T16:00:00Z,41,6.833333,vtrend_ema21_d1_trail_stop,1.191136,10.182509388881613,1.1299238724926586,0.8830213698304453,1,58
74,2022-02-15T00:00:00Z,2022-02-17T16:00:00Z,16,2.666667,vtrend_ema21_d1_trail_stop,-1.632189,5.103312965864927,4.294343742871629,1.3198292973441754,0,102
75,2022-03-01T16:00:00Z,2022-03-04T16:00:00Z,18,3.0,vtrend_ema21_d1_trail_stop,-6.944136,3.920255201230062,9.205468168710675,2.7713479463839836,0,167
76,2022-03-17T16:00:00Z,2022-03-31T20:00:00Z,85,14.166667,vtrend_ema21_d1_trail_stop,11.501257,17.99849376516171,1.724631847615259,0.36098780542057957,1,23
77,2022-04-01T20:00:00Z,2022-04-06T16:00:00Z,29,4.833333,vtrend_ema21_d1_trail_stop,-4.921238,2.232493407927008,6.96203146295,3.2043684350986004,0,151
78,2022-07-19T00:00:00Z,2022-07-23T12:00:00Z,27,4.5,vtrend_ema21_d1_trail_stop,-1.099812,8.112760349370523,3.898808634534326,1.1355656956001832,0,94
79,2022-07-24T00:00:00Z,2022-07-26T00:00:00Z,12,2.0,vtrend_ema21_d1_trail_stop,-5.257612,2.4191401399475043,7.185046216407804,3.1733391601340184,0,157
80,2022-07-28T00:00:00Z,2022-08-01T20:00:00Z,29,4.833333,vtrend_ema21_d1_trail_stop,-0.195192,7.358271663232613,1.719699721321745,1.0265268814381132,0,79
81,2022-08-03T16:00:00Z,2022-08-09T16:00:00Z,36,6.0,vtrend_ema21_d1_trail_stop,-1.386833,3.716961814500455,4.175708614361303,1.3731092944215206,0,99
82,2022-08-10T12:00:00Z,2022-08-17T16:00:00Z,43,7.166667,vtrend_ema21_d1_trail_stop,0.963582,8.925419271415477,0.6087931269437982,0.8920407018764973,1,63
83,2022-09-11T16:00:00Z,2022-09-13T16:00:00Z,12,2.0,vtrend_ema21_d1_trail_stop,-3.945639,5.24047878668881,7.541261015949082,1.7529157469394219,0,139
84,2022-09-13T20:00:00Z,2022-09-15T16:00:00Z,11,1.833333,vtrend_ema21_d1_trend_exit,-2.893608,1.163742648200398,3.9801664528571847,3.4864672653139,0,121
85,2022-10-05T04:00:00Z,2022-10-07T20:00:00Z,16,2.666667,vtrend_ema21_d1_trail_stop,-3.814733,1.2159024612833549,4.407807966524517,4.137367610863822,0,134
86,2022-10-26T00:00:00Z,2022-11-03T00:00:00Z,48,8.0,vtrend_ema21_d1_trail_stop,0.162142,4.905173673602228,0.4926291231835337,0.9669446974176293,1,71
87,2022-11-03T04:00:00Z,2022-11-07T08:00:00Z,25,4.166667,vtrend_ema21_d1_trail_stop,1.394546,5.654947430938279,1.4741355975490449,0.7533936403421854,1,57
88,2022-12-07T00:00:00Z,2022-12-07T08:00:00Z,2,0.333333,vtrend_ema21_d1_trend_exit,-2.103244,0.2113682654299409,2.497497384147019,10.950613899971334,0,111
89,2022-12-09T08:00:00Z,2022-12-12T08:00:00Z,18,3.0,vtrend_ema21_d1_trail_stop,-1.869974,0.7611298814311435,2.0721964752290387,3.456839556060932,0,106
90,2022-12-12T12:00:00Z,2022-12-15T16:00:00Z,19,3.166667,vtrend_ema21_d1_trail_stop,2.378876,8.12342855222403,0.504712793158158,0.7071586233932332,1,53
91,2023-01-09T00:00:00Z,2023-01-30T20:00:00Z,131,21.833333,vtrend_ema21_d1_trail_stop,32.762503,39.75265645661404,0.2350667895135982,0.17584116584115772,1,7
92,2023-01-31T16:00:00Z,2023-02-05T16:00:00Z,30,5.0,vtrend_ema21_d1_trail_stop,-0.307189,4.796180139959636,1.7365687518820034,1.064048678539123,0,82
93,2023-02-06T12:00:00Z,2023-02-09T20:00:00Z,20,3.333333,vtrend_ema21_d1_trail_stop,-3.89566,2.4054989255227954,5.297183152961863,2.6194810808960733,0,135
94,2023-02-16T04:00:00Z,2023-02-17T00:00:00Z,5,0.833333,vtrend_ema21_d1_trail_stop,-5.098208,1.994084186955129,5.723656687109116,3.5566663801615714,0,153
95,2023-02-18T00:00:00Z,2023-02-22T16:00:00Z,28,4.666667,vtrend_ema21_d1_trail_stop,-3.666044,2.6722668166072423,4.139926265393962,2.3718854633888973,0,132
96,2023-02-23T04:00:00Z,2023-02-25T00:00:00Z,11,1.833333,vtrend_ema21_d1_trail_stop,-5.385974,0.191055361275411,6.691858959629505,29.1906457062777,0,158
97,2023-02-27T00:00:00Z,2023-03-03T04:00:00Z,25,4.166667,vtrend_ema21_d1_trail_stop,-5.433084,1.7880308629227033,6.816747561113042,4.03858513444176,0,160
98,2023-03-14T16:00:00Z,2023-03-27T16:00:00Z,78,13.0,vtrend_ema21_d1_trail_stop,3.688815,11.3711956408116,7.807008313041826,0.6756000761467228,1,39
99,2023-03-28T00:00:00Z,2023-04-08T20:00:00Z,71,11.833333,vtrend_ema21_d1_trail_stop,2.740794,7.486173936745856,1.9160690703084835,0.6338858777316376,1,46
100,2023-04-09T04:00:00Z,2023-04-17T08:00:00Z,49,8.166667,vtrend_ema21_d1_trail_stop,6.247293,10.494304509464568,0.9115591818349998,0.40469680536087815,1,29
101,2023-04-18T08:00:00Z,2023-04-19T20:00:00Z,9,1.5,vtrend_ema21_d1_trail_stop,-2.038399,2.28014757184621,4.312619033982158,1.8939767869276687,0,110
102,2023-04-30T08:00:00Z,2023-05-01T16:00:00Z,8,1.333333,vtrend_ema21_d1_trail_stop,-3.936507,2.299607679057678,5.105573704312071,2.7118167745956923,0,138
103,2023-05-04T04:00:00Z,2023-05-08T00:00:00Z,23,3.833333,vtrend_ema21_d1_trail_stop,-2.486741,2.382912068889449,3.8512871345755895,2.0435722880697567,0,116
104,2023-05-30T00:00:00Z,2023-05-31T16:00:00Z,10,1.666667,vtrend_ema21_d1_trail_stop,-3.167713,0.9885295996715106,3.332080685552323,4.204469548562465,0,127
