branch_id,slow_period,e0_trade_id,entry_bar,exit_bar,entry_price_exec,exit_price_exec,bars_held,ATR_entry,MFE_R_final,MAE_R_final,realized_R,giveback_R,giveback_ratio,exit_reason,partial_exit_done,net_pnl_per_unit,gross_pnl_per_unit,cost_per_unit,time_from_peak_to_exit,entry_ER30_context_bin
E2,120,34,3266,3280,11873.61,10396.98,14,674.3555,0.5493,2.7042,-2.2723,2.8215,5.137,trail_stop,False,-1532.3065,-1476.63,55.6765,36.0,0.10-0.15
E3,120,34,3266,3280,11873.61,10396.98,14,674.3555,0.5493,2.7042,-2.2723,2.8215,5.137,trail_stop,False,-1532.3065,-1476.63,55.6765,36.0,0.10-0.15
E4,120,34,3266,3280,11873.61,10396.98,14,674.3555,0.5493,2.7042,-2.2723,2.8215,5.137,trail_stop,False,-1532.3065,-1476.63,55.6765,36.0,0.10-0.15
E5,120,34,3266,3280,11873.61,10396.98,14,674.3555,0.5493,2.7042,-2.2723,2.8215,5.137,trail_stop,False,-1532.3065,-1476.63,55.6765,36.0,0.10-0.15
E0,120,35,3289,3338,11289.48,11586.18,49,555.4443,3.3443,0.8876,0.4312,2.9131,0.8711,trail_stop,False,239.5109,296.7,57.1892,20.0,<0.10
E1,120,35,3289,3302,11289.48,10982.73,13,555.4443,1.2792,0.8876,-0.6525,1.9317,1.5101,trail_stop,False,-362.4305,-306.75,55.6805,32.0,<0.10
E2,120,35,3289,3302,11289.48,10982.73,13,555.4443,1.2792,0.8876,-0.6525,1.9317,1.5101,trail_stop,False,-362.4305,-306.75,55.6805,32.0,<0.10
E3,120,35,3289,3338,11289.48,11586.18,49,555.4443,3.3443,0.8876,0.643,2.7013,0.8077,trail_stop,True,357.156,414.64,57.484,20.0,<0.10
E4,120,35,3289,3302,11289.48,10982.73,13,555.4443,1.2792,0.8876,-0.0795,1.3587,1.0621,trail_stop,True,-44.1382,12.34,56.4782,32.0,<0.10
E5,120,35,3289,3337,11289.48,11702.04,48,555.4443,3.3443,0.8876,0.6393,2.7051,0.8088,trail_stop,False,355.0812,412.56,57.4788,16.0,<0.10
E0,120,36,3343,3358,11186.81,10413.12,15,446.8292,1.5625,1.9959,-1.8524,3.4149,2.1855,trail_stop,False,-827.6898,-773.69,53.9998,40.0,<0.10
E1,120,36,3343,3357,11186.81,10681.52,14,446.8292,1.5625,1.5259,-1.2532,2.8157,1.802,trail_stop,False,-559.9608,-505.29,54.6708,36.0,<0.10
E2,120,36,3343,3357,11186.81,10681.52,14,446.8292,1.5625,1.5259,-1.2532,2.8157,1.802,trail_stop,False,-559.9608,-505.29,54.6708,36.0,<0.10
E3,120,36,3343,3358,11186.81,10413.12,15,446.8292,1.5625,1.9959,-0.9285,2.491,1.5942,trail_stop,True,-414.8678,-359.8333,55.0345,40.0,<0.10
E4,120,36,3343,3357,11186.81,10681.52,14,446.8292,1.5625,1.5259,-0.529,2.0916,1.3386,trail_stop,True,-236.3818,-180.9,55.4818,36.0,<0.10
E5,120,36,3343,3358,11186.81,10413.12,15,446.8292,1.5625,1.9959,-1.8524,3.4149,2.1855,trail_stop,False,-827.6898,-773.69,53.9998,40.0,<0.10
E0,120,37,3479,3521,10850.6,11329.1,42,192.8602,7.6745,1.5483,2.1936,5.4809,0.7142,trail_stop,False,423.0508,478.5,55.4493,108.0,>=0.25
E1,120,37,3479,3496,10850.6,11700.0,17,192.8602,7.6745,1.5483,4.1119,3.5626,0.4642,trail_stop,False,793.0235,849.4,56.3765,8.0,>=0.25
E2,120,37,3479,3496,10850.6,11700.0,17,192.8602,7.6745,1.5483,4.1119,3.5626,0.4642,trail_stop,False,793.0235,849.4,56.3765,8.0,>=0.25
E3,120,37,3479,3521,10850.6,11329.1,42,192.8602,7.6745,1.5483,2.5968,5.0777,0.6616,trail_stop,True,500.8125,556.4567,55.6441,108.0,>=0.25
E4,120,37,3479,3496,10850.6,11700.0,17,192.8602,7.6745,1.5483,3.8757,3.7988,0.495,trail_stop,True,747.461,803.7233,56.2623,8.0,>=0.25
E5,120,37,3479,3498,10850.6,11481.69,19,192.8602,7.6745,1.5483,2.9828,4.6917,0.6113,trail_stop,False,575.2593,631.09,55.8307,16.0,>=0.25
E0,120,38,3525,3538,11469.94,10951.09,13,247.2278,0.5261,2.2608,-2.3254,2.8515,5.4203,trail_stop,False,-574.9026,-518.85,56.0526,40.0,<0.10
E1,120,38,3525,3538,11469.94,10951.09,13,247.2278,0.5261,2.2608,-2.3254,2.8515,5.4203,trail_stop,False,-574.9026,-518.85,56.0526,40.0,<0.10
E2,120,38,3525,3538,11469.94,10951.09,13,247.2278,0.5261,2.2608,-2.3254,2.8515,5.4203,trail_stop,False,-574.9026,-518.85,56.0526,40.0,<0.10
E3,120,38,3525,3538,11469.94,10951.09,13,247.2278,0.5261,2.2608,-2.3254,2.8515,5.4203,trail_stop,False,-574.9026,-518.85,56.0526,40.0,<0.10
E4,120,38,3525,3538,11469.94,10951.09,13,247.2278,0.5261,2.2608,-2.3254,2.8515,5.4203,trail_stop,False,-574.9026,-518.85,56.0526,40.0,<0.10
E5,120,38,3525,3538,11469.94,10951.09,13,247.2278,0.5261,2.2608,-2.3254,2.8515,5.4203,trail_stop,False,-574.9026,-518.85,56.0526,40.0,<0.10
E0,120,39,3680,3697,10716.51,10298.96,17,179.8596,1.0528,3.1497,-2.6136,3.6665,3.4825,trail_stop,False,-470.0887,-417.55,52.5387,60.0,>=0.25
E1,120,39,3680,3683,10716.51,10372.75,3,179.8596,1.0528,2.3528,-2.2044,3.2572,3.0938,trail_stop,False,-396.4832,-343.76,52.7232,4.0,>=0.25
E2,120,39,3680,3684,10716.51,10298.73,4,179.8596,1.0528,3.1497,-2.6149,3.6677,3.4837,trail_stop,False,-470.3181,-417.78,52.5381,8.0,>=0.25
E3,120,39,3680,3697,10716.51,10298.96,17,179.8596,1.0528,3.1497,-1.6079,2.6607,2.5272,trail_stop,True,-289.1954,-236.2033,52.992,60.0,>=0.25
E4,120,39,3680,3683,10716.51,10372.75,3,179.8596,1.0528,2.3528,-1.3351,2.3879,2.2681,trail_stop,True,-240.125,-187.01,53.115,4.0,>=0.25
E5,120,39,3680,3695,10716.51,10340.06,15,179.8596,1.0528,3.1497,-2.3857,3.4385,3.266,trail_stop,False,-429.0914,-376.45,52.6414,52.0,>=0.25
E0,120,40,3709,3711,10093.04,10068.05,2,172.7294,0.2833,1.2334,-0.4365,0.7198,2.5405,ema_cross_down,False,-75.3927,-24.99,50.4027,0.0,0.20-0.25
E1,120,40,3709,3711,10093.04,10068.05,2,172.7294,0.2833,1.2334,-0.4365,0.7198,2.5405,ema_cross_down,False,-75.3927,-24.99,50.4027,0.0,0.20-0.25
E2,120,40,3709,3711,10093.04,10068.05,2,172.7294,0.2833,1.2334,-0.4365,0.7198,2.5405,ema_cross_down,False,-75.3927,-24.99,50.4027,0.0,0.20-0.25
E3,120,40,3709,3711,10093.04,10068.05,2,172.7294,0.2833,1.2334,-0.4365,0.7198,2.5405,ema_cross_down,False,-75.3927,-24.99,50.4027,0.0,0.20-0.25
E4,120,40,3709,3711,10093.04,10068.05,2,172.7294,0.2833,1.2334,-0.4365,0.7198,2.5405,ema_cross_down,False,-75.3927,-24.99,50.4027,0.0,0.20-0.25
E5,120,40,3709,3711,10093.04,10068.05,2,172.7294,0.2833,1.2334,-0.4365,0.7198,2.5405,ema_cross_down,False,-75.3927,-24.99,50.4027,0.0,0.20-0.25
