branch_id,slow_period,fold,cagr,mdd,sharpe,sortino,mar,ulcer_index,n_days,trade_count,win_rate,profit_factor,avg_holding_bars,total_cost,skew,tail_ratio,exposure,mean_MFE_R,median_MFE_R,mean_realized_R,median_realized_R,mean_giveback_R,median_giveback_R,mean_giveback_ratio,median_giveback_ratio,pct_MFE1_loss,pct_MFE1_retained_low,pct_MFE2_retained_low,mean_time_peak_to_exit,exit_reason_mix,top5_pnl_pct,top10_pnl_pct,top10_mean_size,n_partials,partial_frac_of_trades
E1,120,17,22.228018282164896,12.667333572531025,0.9393896202336323,0.9858532168017344,1.7547511601309775,7.850555574352752,182,24,45.83,1.3325,24.4,20046.37,1.2114,2.1264,0.5337,3.9947,2.3341,0.7695,-0.5136,3.2252,3.0175,14.3383,1.1941,38.89,72.22,61.54,42.17,"{'trail_stop': 22, 'ema_cross_down': 2}",183.0,262.04,13553.0117,0,0.0
E1,120,18,-14.445673980623063,13.49006926372992,-0.9230668890576235,-0.5424430991125262,-1.070837643470255,9.435641209626953,183,17,35.29,0.6287,19.7,14070.72,1.5775,1.1495,0.3034,3.3395,1.7856,-0.2646,-1.0999,3.6041,3.5385,2.7358,1.9519,45.45,81.82,71.43,34.59,"{'trail_stop': 16, 'ema_cross_down': 1}",96.12,136.8,11128.8099,0,0.0
E1,120,19,-15.030902220100817,10.99103595983324,-1.0272081346396467,-0.44694707238951653,-1.3675600985231304,9.70806502152279,141,9,55.56,0.6593,15.6,7192.07,-0.1618,0.7503,0.1634,3.0511,1.3137,-0.7499,0.3892,3.801,3.5471,5.7027,0.8723,16.67,50.0,50.0,21.33,"{'trail_stop': 7, 'ema_cross_down': 2}",75.26,75.26,6618.3438,0,0.0
E2,120,0,46.16470016880356,37.74885243169103,0.9035217605839388,0.7776502599657552,1.2229431411813525,23.527259063132526,180,21,42.86,1.2222,25.6,7895.27,0.5147,1.4395,0.4945,3.5093,2.249,0.3831,-0.9115,3.1262,2.8582,7.2144,1.5582,40.0,53.33,46.15,33.14,"{'trail_stop': 19, 'ema_cross_down': 2}",223.17,301.84,13738.5983,0,0.0
E2,120,1,-27.500503332750824,31.65753536968604,-0.5860002699682924,-0.373975620381379,-0.8686874392339519,23.590377198172604,182,18,38.89,0.7549,20.7,6617.72,-0.5015,0.5891,0.3397,3.2454,2.5374,-0.2317,-0.1415,3.4771,2.9186,7.6609,1.0509,53.33,60.0,53.85,28.44,{'trail_stop': 18},68.15,129.35,6109.7427,0,0.0
E2,120,2,121.42649984208491,12.205803459343677,2.184929490743277,1.9639285061315512,9.948259469075063,6.014891584832573,183,19,52.63,2.3895,22.2,7555.89,0.2661,1.4545,0.3822,3.9907,3.0308,0.9783,0.6971,3.0124,2.6678,2.179,0.7059,41.18,52.94,46.67,26.95,{'trail_stop': 19},37.81,63.86,9534.8206,0,0.0
E2,120,3,90.3487383821586,11.085694173545113,2.1867873830226694,1.6707529546175317,8.15002984637324,7.715261850025959,181,14,64.29,2.8614,24.1,6475.19,0.5798,2.2436,0.3086,4.0242,2.9792,1.258,0.6121,2.7661,2.7285,1.3981,0.7595,30.77,61.54,50.0,27.71,{'trail_stop': 14},41.14,72.71,9978.8853,0,0.0
E2,120,4,6.305550174974006,8.939671351884881,0.44745139302994097,0.22776660026503287,0.7053447410731173,6.642122265009219,180,8,50.0,1.2582,21.6,3797.97,1.1716,1.9491,0.1593,3.0717,2.3211,0.3896,-0.016,2.682,2.7469,2.1821,1.0273,42.86,71.43,50.0,29.5,"{'trail_stop': 7, 'ema_cross_down': 1}",311.62,311.62,8666.038,0,0.0
E2,120,5,-31.904205271673515,17.952082225086087,-1.5364535850667456,-0.8206113110356676,-1.7771868951831586,9.26254954121531,182,13,23.08,0.411,16.5,6001.08,1.7142,0.9157,0.1949,2.4432,1.6904,-0.6977,-1.1691,3.1409,3.1428,2.5638,1.7956,66.67,88.89,83.33,28.31,"{'trail_stop': 11, 'ema_cross_down': 2}",50.39,60.24,5378.8891,0,0.0
E2,120,6,-28.95278159650656,21.968119444192403,-1.2126879449476338,-0.8187814130971245,-1.3179453830837877,15.06247020772888,183,20,25.0,0.5334,14.9,8573.89,1.3274,0.8145,0.2699,2.8002,1.7041,-0.3073,-0.538,3.1075,3.1205,2.1923,1.3975,61.54,84.62,77.78,28.6,"{'trail_stop': 16, 'ema_cross_down': 4}",61.03,82.8,6104.7346,0,0.0
