entry_bar_idx,entry_fill_bar_idx,entry_ts_ms,exit_ts_ms,entry_fill_price,exit_fill_price,qty,return_pct,pnl_usd
12031,12032,1688025600000,1688572800000,30370.637875,30325.761479,4.15565233,-0.147762,-375.525682
12071,12072,1688601600000,1689364800000,30535.312426,30085.072349,4.11477099,-1.474490,-2038.324582
12125,12126,1689379200000,1689811200000,30342.319578,29879.308267,4.06766395,-1.525959,-2065.682895
12512,12513,1694952000000,1695312000000,26593.253322,26557.432636,4.55660362,-0.134698,-344.738206
12556,12557,1695585600000,1695686400000,26475.635792,26278.501776,4.55698980,-0.744587,-1077.963997
12582,12583,1695960000000,1696291200000,26984.964739,27467.022364,4.42439526,1.786393,1950.526021
12612,12613,1696392000000,1696982400000,27457.867288,27362.736728,4.41261273,-0.346460,-600.886061
12659,12660,1697068800000,1697169600000,26902.402239,26754.915005,4.47467398,-0.548231,-839.536569
12687,12688,1697472000000,1699992000000,28092.231176,35258.714823,4.24889361,25.510553,30224.910758
12866,12867,1700049600000,1700150400000,36277.200010,36369.603102,4.11723533,0.254714,155.831950
12876,12877,1700193600000,1700611200000,36520.493121,35705.917285,4.08794209,-2.230462,-3548.884427
12912,12913,1700712000000,1701086400000,37337.009025,36998.923309,3.89764715,-0.905498,-1534.051949
12940,12941,1701115200000,1702267200000,36913.886219,42267.271007,3.89492368,14.502360,20604.083513
13025,13026,1702339200000,1702857600000,41294.673723,41333.275704,3.97471723,0.093479,-93.000168
13065,13066,1702915200000,1703606400000,41307.226266,42349.129088,3.96530999,2.522326,3879.576534
13114,13115,1703620800000,1704283200000,42151.229637,43659.198036,3.97199319,3.577519,5729.519155
13175,13176,1704499200000,1705075200000,44189.276156,44417.549115,3.91259123,0.516580,632.457209
13322,13323,1706616000000,1709668800000,43581.298634,61349.584373,3.97572207,40.770437,70275.902447
13537,13538,1709712000000,1710446400000,66743.153129,69345.692264,3.64349382,3.899335,9103.344352
13604,13605,1710676800000,1710849600000,67022.462229,63018.274430,3.75849747,-5.974397,-15405.010745
13626,13627,1710993600000,1711195200000,66721.131124,64564.996547,3.53927644,-3.231562,-7973.926354
13650,13651,1711339200000,1711987200000,67417.366837,68168.929909,3.37937935,1.114791,2194.263716
13696,13697,1712001600000,1712044800000,69717.675422,66389.061114,3.29440995,-4.774420,-11293.889257
13701,13702,1712073600000,1712217600000,64954.896212,66025.514933,3.35706221,1.648249,3261.656009
13716,13717,1712289600000,1712318400000,67931.880966,66411.538620,3.25307939,-2.238040,-5269.857365
13719,13720,1712332800000,1712692800000,68258.827668,68931.796470,3.15556038,0.985907,1797.316022
13963,13964,1715846400000,1716480000000,66208.779156,68007.931029,3.27550018,2.717392,5558.982298
14010,14011,1716523200000,1716883200000,67959.738803,67626.332914,3.26800419,-0.490593,-1421.076553
